,ibns_20u,vgs_m1,name,type,time,OK
0,20.5149,0.7579687,tran_LayGtKfsTlVh,Lay,Thu Sep  4 15:07:19 2025,False
1,20.70621,0.685388,tran_LayGtKsfTlVh,Lay,Thu Sep  4 15:07:17 2025,True
2,20.684450000000002,0.6953347,tran_LayGtKffTlVh,Lay,Thu Sep  4 15:07:16 2025,True
3,20.53689,0.7480513,tran_LayGtKssTlVh,Lay,Thu Sep  4 15:07:14 2025,False
4,20.57162,0.6838284,tran_LayGtKfsThVh,Lay,Thu Sep  4 15:07:13 2025,True
5,20.75796,0.6037314,tran_LayGtKsfThVh,Lay,Thu Sep  4 15:07:11 2025,True
6,20.73925,0.61373,tran_LayGtKffThVh,Lay,Thu Sep  4 15:07:10 2025,True
7,20.5915,0.6738161,tran_LayGtKssThVh,Lay,Thu Sep  4 15:07:08 2025,True
8,20.5149,0.7579687,tran_LayGtKfsTlVl,Lay,Thu Sep  4 15:07:06 2025,False
9,20.70621,0.685388,tran_LayGtKsfTlVl,Lay,Thu Sep  4 15:07:05 2025,True
10,20.684450000000002,0.6953347,tran_LayGtKffTlVl,Lay,Thu Sep  4 15:07:03 2025,True
11,20.53689,0.7480513,tran_LayGtKssTlVl,Lay,Thu Sep  4 15:07:02 2025,False
12,20.57162,0.6838284,tran_LayGtKfsThVl,Lay,Thu Sep  4 15:07:00 2025,True
13,20.75796,0.6037314,tran_LayGtKsfThVl,Lay,Thu Sep  4 15:06:59 2025,True
14,20.73925,0.61373,tran_LayGtKffThVl,Lay,Thu Sep  4 15:06:57 2025,True
15,20.5915,0.6738161,tran_LayGtKssThVl,Lay,Thu Sep  4 15:06:55 2025,True
