,ibns_20u,vgs_m1,name,type,time,OK
0,21.10488,0.6878013,tran_LayGtKttmmTtVt_29,Lay,Thu Sep  4 15:08:12 2025,True
1,20.57117,0.6860698,tran_LayGtKttmmTtVt_28,Lay,Thu Sep  4 15:08:10 2025,True
2,20.568450000000002,0.6858739,tran_LayGtKttmmTtVt_27,Lay,Thu Sep  4 15:08:09 2025,True
3,18.29107,0.6781377,tran_LayGtKttmmTtVt_26,Lay,Thu Sep  4 15:08:07 2025,True
4,19.96737,0.6860844,tran_LayGtKttmmTtVt_25,Lay,Thu Sep  4 15:08:06 2025,True
5,19.96695,0.6847155,tran_LayGtKttmmTtVt_24,Lay,Thu Sep  4 15:08:04 2025,True
6,19.35339,0.6831191,tran_LayGtKttmmTtVt_23,Lay,Thu Sep  4 15:08:02 2025,True
7,19.03849,0.6809679,tran_LayGtKttmmTtVt_22,Lay,Thu Sep  4 15:08:01 2025,True
8,19.54887,0.6835264,tran_LayGtKttmmTtVt_21,Lay,Thu Sep  4 15:07:59 2025,True
9,19.62603,0.6849104,tran_LayGtKttmmTtVt_20,Lay,Thu Sep  4 15:07:58 2025,True
10,22.262349999999998,0.6905402,tran_LayGtKttmmTtVt_19,Lay,Thu Sep  4 15:07:56 2025,True
11,20.49964,0.6814365,tran_LayGtKttmmTtVt_18,Lay,Thu Sep  4 15:07:55 2025,True
12,19.36347,0.6836198,tran_LayGtKttmmTtVt_17,Lay,Thu Sep  4 15:07:53 2025,True
13,20.49223,0.6845257,tran_LayGtKttmmTtVt_16,Lay,Thu Sep  4 15:07:52 2025,True
14,19.46717,0.683876,tran_LayGtKttmmTtVt_15,Lay,Thu Sep  4 15:07:50 2025,True
15,21.16742,0.6887719,tran_LayGtKttmmTtVt_14,Lay,Thu Sep  4 15:07:48 2025,True
16,20.36761,0.6833507,tran_LayGtKttmmTtVt_13,Lay,Thu Sep  4 15:07:47 2025,True
17,20.79966,0.6873027,tran_LayGtKttmmTtVt_12,Lay,Thu Sep  4 15:07:45 2025,True
18,22.108610000000002,0.6919984,tran_LayGtKttmmTtVt_11,Lay,Thu Sep  4 15:07:44 2025,True
19,21.73107,0.6883658,tran_LayGtKttmmTtVt_10,Lay,Thu Sep  4 15:07:42 2025,True
20,20.652430000000003,0.6874286,tran_LayGtKttmmTtVt_9,Lay,Thu Sep  4 15:07:41 2025,True
21,20.19894,0.6847291,tran_LayGtKttmmTtVt_8,Lay,Thu Sep  4 15:07:39 2025,True
22,20.99067,0.6866213,tran_LayGtKttmmTtVt_7,Lay,Thu Sep  4 15:07:37 2025,True
23,20.572280000000003,0.685466,tran_LayGtKttmmTtVt_6,Lay,Thu Sep  4 15:07:36 2025,True
24,20.70585,0.6859071,tran_LayGtKttmmTtVt_5,Lay,Thu Sep  4 15:07:34 2025,True
25,21.06175,0.687656,tran_LayGtKttmmTtVt_4,Lay,Thu Sep  4 15:07:33 2025,True
26,20.19048,0.6857538,tran_LayGtKttmmTtVt_3,Lay,Thu Sep  4 15:07:31 2025,True
27,19.4189,0.6824379,tran_LayGtKttmmTtVt_2,Lay,Thu Sep  4 15:07:30 2025,True
28,21.39143,0.6875626,tran_LayGtKttmmTtVt_1,Lay,Thu Sep  4 15:07:28 2025,True
29,22.087989999999998,0.6889585,tran_LayGtKttmmTtVt,Lay,Thu Sep  4 15:07:26 2025,True
