,ibns_20u,vgs_m1,name,type,time,OK
0,20.52605,0.6861724,tran_SchGtKttmmTtVt_29,Sch,Mon Sep  1 15:08:09 2025,True
1,21.1341,0.687528,tran_SchGtKttmmTtVt_28,Sch,Mon Sep  1 15:08:09 2025,True
2,21.077589999999997,0.6863756,tran_SchGtKttmmTtVt_27,Sch,Mon Sep  1 15:08:09 2025,True
3,22.41113,0.6915544,tran_SchGtKttmmTtVt_26,Sch,Mon Sep  1 15:08:09 2025,True
4,22.568299999999997,0.6889872,tran_SchGtKttmmTtVt_25,Sch,Mon Sep  1 15:08:09 2025,True
5,20.427239999999998,0.6887107,tran_SchGtKttmmTtVt_24,Sch,Mon Sep  1 15:08:09 2025,True
6,20.20901,0.6858936,tran_SchGtKttmmTtVt_23,Sch,Mon Sep  1 15:08:09 2025,True
7,20.91785,0.6864771,tran_SchGtKttmmTtVt_22,Sch,Mon Sep  1 15:08:09 2025,True
8,19.733249999999998,0.6861921,tran_SchGtKttmmTtVt_21,Sch,Mon Sep  1 15:08:09 2025,True
9,19.97666,0.6844919,tran_SchGtKttmmTtVt_20,Sch,Mon Sep  1 15:08:09 2025,True
10,20.53107,0.6878739,tran_SchGtKttmmTtVt_19,Sch,Mon Sep  1 15:08:09 2025,True
11,21.59673,0.6883793,tran_SchGtKttmmTtVt_18,Sch,Mon Sep  1 15:08:09 2025,True
12,20.47965,0.6850504,tran_SchGtKttmmTtVt_17,Sch,Mon Sep  1 15:08:09 2025,True
13,20.84707,0.6887146,tran_SchGtKttmmTtVt_16,Sch,Mon Sep  1 15:08:09 2025,True
14,20.901670000000003,0.6873049,tran_SchGtKttmmTtVt_15,Sch,Mon Sep  1 15:08:09 2025,True
15,19.88348,0.6850502,tran_SchGtKttmmTtVt_14,Sch,Mon Sep  1 15:08:09 2025,True
16,21.4857,0.6880243,tran_SchGtKttmmTtVt_13,Sch,Mon Sep  1 15:08:09 2025,True
17,21.03012,0.6859892,tran_SchGtKttmmTtVt_12,Sch,Mon Sep  1 15:08:09 2025,True
18,20.54644,0.6881827,tran_SchGtKttmmTtVt_11,Sch,Mon Sep  1 15:08:09 2025,True
19,20.04211,0.6842557,tran_SchGtKttmmTtVt_10,Sch,Mon Sep  1 15:08:09 2025,True
20,19.79928,0.6853892,tran_SchGtKttmmTtVt_9,Sch,Mon Sep  1 15:08:09 2025,True
21,20.54203,0.6850293,tran_SchGtKttmmTtVt_8,Sch,Mon Sep  1 15:08:09 2025,True
22,21.14574,0.6863079,tran_SchGtKttmmTtVt_7,Sch,Mon Sep  1 15:08:09 2025,True
23,20.200110000000002,0.6854339,tran_SchGtKttmmTtVt_6,Sch,Mon Sep  1 15:08:09 2025,True
24,19.66111,0.6822662,tran_SchGtKttmmTtVt_5,Sch,Mon Sep  1 15:08:09 2025,True
25,20.10634,0.6848972,tran_SchGtKttmmTtVt_4,Sch,Mon Sep  1 15:08:09 2025,True
26,21.94391,0.6882463,tran_SchGtKttmmTtVt_3,Sch,Mon Sep  1 15:08:09 2025,True
27,21.76471,0.68984,tran_SchGtKttmmTtVt_2,Sch,Mon Sep  1 15:08:09 2025,True
28,20.52318,0.6877616,tran_SchGtKttmmTtVt_1,Sch,Mon Sep  1 15:08:09 2025,True
29,19.561609999999998,0.6834312,tran_SchGtKttmmTtVt,Sch,Mon Sep  1 15:08:09 2025,True
