,vout1_1us,vout2_1us,vout3_1us,name,type,time,OK
0,0.7581752,0.3082866,1.725812,tran_SchGtKttmmTtVt_29,Sch,Wed Nov 26 19:59:27 2025,True
1,0.760109,0.2629171,1.716321,tran_SchGtKttmmTtVt_28,Sch,Wed Nov 26 19:59:27 2025,True
2,0.7594167,0.2995124,1.724621,tran_SchGtKttmmTtVt_27,Sch,Wed Nov 26 19:59:27 2025,True
3,0.7615371,0.315555,1.737763,tran_SchGtKttmmTtVt_26,Sch,Wed Nov 26 19:59:27 2025,True
4,0.7623125,0.3885945,1.729329,tran_SchGtKttmmTtVt_25,Sch,Wed Nov 26 19:59:27 2025,True
5,0.7582849,0.2801346,1.722638,tran_SchGtKttmmTtVt_24,Sch,Wed Nov 26 19:59:26 2025,True
6,0.763695,0.3628021,1.715467,tran_SchGtKttmmTtVt_23,Sch,Wed Nov 26 19:59:26 2025,True
7,0.7615512,0.3394047,1.72647,tran_SchGtKttmmTtVt_22,Sch,Wed Nov 26 19:59:26 2025,True
8,0.7606242,0.3576052,1.715439,tran_SchGtKttmmTtVt_21,Sch,Wed Nov 26 19:59:26 2025,True
9,0.760928,0.3323303,1.719807,tran_SchGtKttmmTtVt_20,Sch,Wed Nov 26 19:59:26 2025,True
10,0.7581708,0.3075278,1.720797,tran_SchGtKttmmTtVt_19,Sch,Wed Nov 26 19:59:26 2025,True
11,0.7605247,0.3049542,1.720078,tran_SchGtKttmmTtVt_18,Sch,Wed Nov 26 19:59:26 2025,True
12,0.7589809,0.2829524,1.734553,tran_SchGtKttmmTtVt_17,Sch,Wed Nov 26 19:59:26 2025,True
13,0.7595758,0.3332782,1.735697,tran_SchGtKttmmTtVt_16,Sch,Wed Nov 26 19:59:26 2025,True
14,0.7606728,0.3586203,1.730425,tran_SchGtKttmmTtVt_15,Sch,Wed Nov 26 19:59:26 2025,True
15,0.7573499,0.3872596,1.720257,tran_SchGtKttmmTtVt_14,Sch,Wed Nov 26 19:59:26 2025,True
16,0.7611555,0.2699068,1.71627,tran_SchGtKttmmTtVt_13,Sch,Wed Nov 26 19:59:26 2025,True
17,0.7630972,0.3734221,1.722815,tran_SchGtKttmmTtVt_12,Sch,Wed Nov 26 19:59:26 2025,True
18,0.7626527,0.3549007,1.718372,tran_SchGtKttmmTtVt_11,Sch,Wed Nov 26 19:59:26 2025,True
19,0.7669943,0.3877022,1.709853,tran_SchGtKttmmTtVt_10,Sch,Wed Nov 26 19:59:26 2025,True
20,0.7653785,0.3199278,1.716356,tran_SchGtKttmmTtVt_9,Sch,Wed Nov 26 19:59:26 2025,True
21,0.7599296,0.3161844,1.729653,tran_SchGtKttmmTtVt_8,Sch,Wed Nov 26 19:59:26 2025,True
22,0.7596112,0.3036516,1.719565,tran_SchGtKttmmTtVt_7,Sch,Wed Nov 26 19:59:26 2025,True
23,0.7604711,0.2998366,1.733639,tran_SchGtKttmmTtVt_6,Sch,Wed Nov 26 19:59:26 2025,True
24,0.75716,0.3617441,1.72247,tran_SchGtKttmmTtVt_5,Sch,Wed Nov 26 19:59:26 2025,True
25,0.7590893,0.3165245,1.73615,tran_SchGtKttmmTtVt_4,Sch,Wed Nov 26 19:59:26 2025,True
26,0.7596231,0.324418,1.72246,tran_SchGtKttmmTtVt_3,Sch,Wed Nov 26 19:59:26 2025,True
27,0.7572214,0.272483,1.72172,tran_SchGtKttmmTtVt_2,Sch,Wed Nov 26 19:59:26 2025,True
28,0.7612739,0.3673935,1.73235,tran_SchGtKttmmTtVt_1,Sch,Wed Nov 26 19:59:26 2025,True
29,0.761101,0.305271,1.729199,tran_SchGtKttmmTtVt,Sch,Wed Nov 26 19:59:26 2025,True
