,v1a_,name,type,time,OK
0,0.7655187,tran_SchGtKfsTlVh,Sch,Tue Dec  2 02:39:07 2025,True
1,0.7918118,tran_SchGtKsfTlVh,Sch,Tue Dec  2 02:39:07 2025,True
2,0.7877595,tran_SchGtKffTlVh,Sch,Tue Dec  2 02:39:07 2025,True
3,0.7775134,tran_SchGtKssTlVh,Sch,Tue Dec  2 02:39:07 2025,True
4,0.5228527,tran_SchGtKfsThVh,Sch,Tue Dec  2 02:39:07 2025,True
5,0.5351283,tran_SchGtKsfThVh,Sch,Tue Dec  2 02:39:07 2025,True
6,0.5278095,tran_SchGtKffThVh,Sch,Tue Dec  2 02:39:07 2025,True
7,0.5318046,tran_SchGtKssThVh,Sch,Tue Dec  2 02:39:07 2025,True
8,0.6175057,tran_SchGtKfsTlVl,Sch,Tue Dec  2 02:39:07 2025,True
9,0.6657116,tran_SchGtKsfTlVl,Sch,Tue Dec  2 02:39:07 2025,True
10,0.6627187,tran_SchGtKffTlVl,Sch,Tue Dec  2 02:39:07 2025,True
11,0.6308907,tran_SchGtKssTlVl,Sch,Tue Dec  2 02:39:06 2025,True
12,0.5021506,tran_SchGtKfsThVl,Sch,Tue Dec  2 02:39:06 2025,True
13,0.5180662,tran_SchGtKsfThVl,Sch,Tue Dec  2 02:39:06 2025,True
14,0.5095763,tran_SchGtKffThVl,Sch,Tue Dec  2 02:39:06 2025,True
15,0.5126752,tran_SchGtKssThVl,Sch,Tue Dec  2 02:39:06 2025,True
