,v1a_,name,type,time,OK
0,0.79952,tran_SchGtKfsTlVh,Sch,Sat Dec 13 05:42:07 2025,True
1,0.808258,tran_SchGtKsfTlVh,Sch,Sat Dec 13 05:41:08 2025,True
2,0.8031401,tran_SchGtKffTlVh,Sch,Sat Dec 13 05:40:12 2025,True
3,0.8065625,tran_SchGtKssTlVh,Sch,Sat Dec 13 05:39:13 2025,True
4,0.8045021,tran_SchGtKttTlVh,Sch,Sat Dec 13 05:38:14 2025,True
5,0.5318433,tran_SchGtKfsThVh,Sch,Sat Dec 13 05:37:18 2025,True
6,0.5412372,tran_SchGtKsfThVh,Sch,Sat Dec 13 05:36:19 2025,True
7,0.5341225,tran_SchGtKffThVh,Sch,Sat Dec 13 05:35:21 2025,True
8,0.5399717,tran_SchGtKssThVh,Sch,Sat Dec 13 05:34:21 2025,True
9,0.53595,tran_SchGtKttThVh,Sch,Sat Dec 13 05:33:24 2025,True
10,0.6971835,tran_SchGtKfsTtVh,Sch,Sat Dec 13 05:32:28 2025,True
11,0.7066884,tran_SchGtKsfTtVh,Sch,Sat Dec 13 05:32:28 2025,True
12,0.700795,tran_SchGtKffTtVh,Sch,Sat Dec 13 05:32:28 2025,True
13,0.7045432,tran_SchGtKssTtVh,Sch,Sat Dec 13 05:32:28 2025,True
14,0.7020986,tran_SchGtKttTtVh,Sch,Sat Dec 13 05:32:28 2025,True
15,0.7852995,tran_SchGtKfsTlVt,Sch,Sat Dec 13 05:32:28 2025,True
16,0.7902019,tran_SchGtKsfTlVt,Sch,Sat Dec 13 05:31:30 2025,True
17,0.7827456,tran_SchGtKffTlVt,Sch,Sat Dec 13 05:30:33 2025,True
18,0.7922536,tran_SchGtKssTlVt,Sch,Sat Dec 13 05:29:34 2025,True
19,0.7866566,tran_SchGtKttTlVt,Sch,Sat Dec 13 05:28:37 2025,True
20,0.5242291,tran_SchGtKfsThVt,Sch,Sat Dec 13 05:27:35 2025,True
21,0.5342589,tran_SchGtKsfThVt,Sch,Sat Dec 13 05:26:37 2025,True
22,0.5269487,tran_SchGtKffThVt,Sch,Sat Dec 13 05:25:41 2025,True
23,0.5320449,tran_SchGtKssThVt,Sch,Sat Dec 13 05:24:41 2025,True
24,0.5286459,tran_SchGtKttThVt,Sch,Sat Dec 13 05:23:46 2025,True
25,0.6856201,tran_SchGtKfsTtVt,Sch,Sat Dec 13 05:22:50 2025,True
26,0.6967199,tran_SchGtKsfTtVt,Sch,Sat Dec 13 05:22:50 2025,True
27,0.6899995,tran_SchGtKffTtVt,Sch,Sat Dec 13 05:22:50 2025,True
28,0.6934765,tran_SchGtKssTtVt,Sch,Sat Dec 13 05:22:50 2025,True
29,0.6913837,tran_SchGtKttTtVt,Sch,Sat Dec 13 05:22:49 2025,True
30,0.7737141,tran_SchGtKfsTlVl,Sch,Sat Dec 13 05:22:49 2025,True
31,0.7501245,tran_SchGtKsfTlVl,Sch,Sat Dec 13 05:21:51 2025,True
32,0.7460542,tran_SchGtKffTlVl,Sch,Sat Dec 13 05:20:56 2025,True
33,0.7299169,tran_SchGtKssTlVl,Sch,Sat Dec 13 05:19:56 2025,True
34,0.7612733,tran_SchGtKttTlVl,Sch,Sat Dec 13 05:19:00 2025,True
35,0.5151108,tran_SchGtKfsThVl,Sch,Sat Dec 13 05:18:03 2025,True
36,0.525708,tran_SchGtKsfThVl,Sch,Sat Dec 13 05:17:01 2025,True
37,0.5184274,tran_SchGtKffThVl,Sch,Sat Dec 13 05:16:05 2025,True
38,0.5214312,tran_SchGtKssThVl,Sch,Sat Dec 13 05:15:05 2025,True
39,0.519844,tran_SchGtKttThVl,Sch,Sat Dec 13 05:14:07 2025,True
40,0.6701841,tran_SchGtKfsTtVl,Sch,Sat Dec 13 05:13:10 2025,True
41,0.6817282,tran_SchGtKsfTtVl,Sch,Sat Dec 13 05:13:10 2025,True
42,0.6744539,tran_SchGtKffTtVl,Sch,Sat Dec 13 05:13:10 2025,True
43,0.6738559,tran_SchGtKssTtVl,Sch,Sat Dec 13 05:13:10 2025,True
44,0.6762058,tran_SchGtKttTtVl,Sch,Sat Dec 13 05:13:10 2025,True
