,v1a_,name,type,time,OK
0,0.728239,tran_SchGtKttmmTtVt_29,Sch,Sun Nov 30 23:25:28 2025,True
1,0.736281,tran_SchGtKttmmTtVt_28,Sch,Sun Nov 30 23:24:53 2025,True
2,0.7301629,tran_SchGtKttmmTtVt_27,Sch,Sun Nov 30 23:24:16 2025,True
3,0.7323349,tran_SchGtKttmmTtVt_26,Sch,Sun Nov 30 23:23:42 2025,True
4,0.7386762,tran_SchGtKttmmTtVt_25,Sch,Sun Nov 30 23:23:10 2025,True
5,0.7288108,tran_SchGtKttmmTtVt_24,Sch,Sun Nov 30 23:22:40 2025,True
6,0.7414218,tran_SchGtKttmmTtVt_23,Sch,Sun Nov 30 23:22:11 2025,True
7,0.7297262,tran_SchGtKttmmTtVt_22,Sch,Sun Nov 30 23:21:42 2025,True
8,0.7331497,tran_SchGtKttmmTtVt_21,Sch,Sun Nov 30 23:21:12 2025,True
9,0.7356709,tran_SchGtKttmmTtVt_20,Sch,Sun Nov 30 23:20:42 2025,True
10,0.7404568,tran_SchGtKttmmTtVt_19,Sch,Sun Nov 30 23:20:14 2025,True
11,0.7386672,tran_SchGtKttmmTtVt_18,Sch,Sun Nov 30 23:19:44 2025,True
12,0.7230806,tran_SchGtKttmmTtVt_17,Sch,Sun Nov 30 23:19:13 2025,True
13,0.7380434,tran_SchGtKttmmTtVt_16,Sch,Sun Nov 30 23:18:45 2025,True
14,0.7336777,tran_SchGtKttmmTtVt_15,Sch,Sun Nov 30 23:18:17 2025,True
15,0.7396198,tran_SchGtKttmmTtVt_14,Sch,Sun Nov 30 23:17:47 2025,True
16,0.7381072,tran_SchGtKttmmTtVt_13,Sch,Sun Nov 30 23:17:19 2025,True
17,0.7335867,tran_SchGtKttmmTtVt_12,Sch,Sun Nov 30 23:16:50 2025,True
18,0.7334692,tran_SchGtKttmmTtVt_11,Sch,Sun Nov 30 23:16:21 2025,True
19,0.7409507,tran_SchGtKttmmTtVt_10,Sch,Sun Nov 30 23:15:52 2025,True
20,0.7388373,tran_SchGtKttmmTtVt_9,Sch,Sun Nov 30 23:15:24 2025,True
21,0.7322391,tran_SchGtKttmmTtVt_8,Sch,Sun Nov 30 23:14:54 2025,True
22,0.7325305,tran_SchGtKttmmTtVt_7,Sch,Sun Nov 30 23:14:26 2025,True
23,0.7339231,tran_SchGtKttmmTtVt_6,Sch,Sun Nov 30 23:13:57 2025,True
24,0.7332866,tran_SchGtKttmmTtVt_5,Sch,Sun Nov 30 23:13:28 2025,True
25,0.739832,tran_SchGtKttmmTtVt_4,Sch,Sun Nov 30 23:12:59 2025,True
26,0.7240061,tran_SchGtKttmmTtVt_3,Sch,Sun Nov 30 23:12:30 2025,True
27,0.7383986,tran_SchGtKttmmTtVt_2,Sch,Sun Nov 30 23:12:01 2025,True
28,0.7341052,tran_SchGtKttmmTtVt_1,Sch,Sun Nov 30 23:11:31 2025,True
29,0.7326321,tran_SchGtKttmmTtVt,Sch,Sun Nov 30 23:11:00 2025,True
