,v1a_,name,type,time,OK
0,0.6971835,tran_SchGtKfsTtVh,Sch,Sat Dec 13 03:35:19 2025,True
1,0.7066884,tran_SchGtKsfTtVh,Sch,Sat Dec 13 03:35:19 2025,True
2,0.7020986,tran_SchGtKttTtVh,Sch,Sat Dec 13 03:35:19 2025,True
3,0.700795,tran_SchGtKffTtVh,Sch,Sat Dec 13 03:35:18 2025,True
4,0.7045432,tran_SchGtKssTtVh,Sch,Sat Dec 13 03:35:18 2025,True
5,0.6856201,tran_SchGtKfsTtVt,Sch,Sat Dec 13 03:35:18 2025,True
6,0.6967199,tran_SchGtKsfTtVt,Sch,Sat Dec 13 03:35:18 2025,True
7,0.6913837,tran_SchGtKttTtVt,Sch,Sat Dec 13 03:35:18 2025,True
8,0.6899995,tran_SchGtKffTtVt,Sch,Sat Dec 13 03:35:18 2025,True
9,0.6934765,tran_SchGtKssTtVt,Sch,Sat Dec 13 03:35:18 2025,True
10,0.6701841,tran_SchGtKfsTtVl,Sch,Sat Dec 13 03:35:18 2025,True
11,0.6817282,tran_SchGtKsfTtVl,Sch,Sat Dec 13 03:35:18 2025,True
12,0.6762058,tran_SchGtKttTtVl,Sch,Sat Dec 13 03:35:18 2025,True
13,0.6744539,tran_SchGtKffTtVl,Sch,Sat Dec 13 03:35:18 2025,True
14,0.6738559,tran_SchGtKssTtVl,Sch,Sat Dec 13 03:35:18 2025,True
