Temperature (°C),Output voltage (V)
-40.0,0.330042
-35.0,0.348947
-30.0,0.347226
-25.0,0.364879
-20.0,0.362602
-15.0,0.377403
-10.0,0.377166
-5.0,0.371057
0.0,0.390455
5.0,0.405426
10.0,0.0678258
15.0,0.420033
20.0,0.433158
25.0,0.436444
30.0,0.43501
35.0,0.450481
40.0,0.45383
45.0,0.468002
50.0,0.467633
55.0,0.041802
60.0,0.479967
65.0,0.0418011
70.0,0.496377
75.0,0.504733
80.0,0.0418048
85.0,0.520438
90.0,0.0418345
95.0,0.538695
100.0,0.0419146
105.0,0.0419839
110.0,0.0420957
115.0,0.0422648
120.0,0.0425007
125.0,0.0428547
