Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW)
-40.0,0.396074,0.003,0.007,-9.875159999999999e-05,0.0011616083999999999,8.763736780898372e-05
-35.0,0.294748,0.003,0.003,-0.00010724184,0.0011994714,8.903466381770476e-05
-30.0,0.307135,0.003,0.004,-0.00011498094,0.0012372156,8.873106044947807e-05
-25.0,0.307767,0.003,0.004,-0.00011923020000000001,0.0012705750000000001,8.792661669040057e-05
-20.0,0.308403,0.003,0.004,-0.0001180773,0.001303272,8.690393389004939e-05
-15.0,0.324333,0.003,0.005,-0.0012808944,0.00033381540000000003,8.605102064243766e-05
-10.0,0.324934,0.003,0.005,-0.0013015638,0.0003314934,8.48389305932547e-05
-5.0,0.325542,0.003,0.005,-0.0013089924,0.00032668020000000005,8.35188428915413e-05
0.0,0.345994,0.003,0.006,-0.0013068612,0.000318645,8.242761164926672e-05
5.0,0.346516,0.003,0.006,-0.0012954654000000001,0.0003134628,8.091659649564107e-05
10.0,0.492022,0.004,0.007,-0.001276272,0.0002961936,7.891026702430485e-05
15.0,0.481839,0.004,0.007,-0.0012578652,0.00032986260000000004,7.723855559490967e-05
20.0,0.402987,0.004,0.004,-0.0012399696,0.0003694572,7.77910228297299e-05
25.0,0.403899,0.004,0.004,-0.0012253428,0.0003726414,7.608862512830816e-05
30.0,0.404825,0.004,0.004,-0.0012172194000000002,0.0003757464,7.436171652037666e-05
35.0,0.405768,0.004,0.004,-0.0012183426,0.00037878660000000003,7.264721756716517e-05
40.0,0.421544,0.004,0.005,-0.0012289266,0.0003857274,7.119909634746132e-05
45.0,0.42249,0.004,0.005,-0.0012472164,0.0003887172,6.94420027695953e-05
50.0,0.423455,0.004,0.005,-0.0012698981999999998,0.0003917376,6.767031028502992e-05
55.0,0.442985,0.004,0.006,-0.0012926412,0.0003871278,6.616941537482675e-05
60.0,0.443912,0.004,0.006,-0.0013118814,0.000389511,6.438936892923605e-05
65.0,0.519907,0.005,0.004,-0.0013291560000000002,0.0003785868,6.29198124085333e-05
70.0,0.543678,0.005,0.005,-0.0013345686000000002,0.0003825072,6.109721634076086e-05
75.0,0.506007,0.004,0.009,-0.0013309272,0.00039897180000000003,6.0449797648331205e-05
80.0,0.507041,0.005,0.004,-0.0013199868,0.00046905840000000004,5.8945425886276026e-05
85.0,0.508422,0.005,0.004,-0.0013028922000000002,0.0004725882,5.736077623345768e-05
90.0,0.50984,0.005,0.004,-0.0012837852,0.00048097440000000003,5.5938745330849894e-05
95.0,0.51128,0.005,0.004,-0.0012614202,0.000479844,5.4429657056750185e-05
100.0,0.527305,0.005,0.005,-0.0012388878,0.0004879944,5.320897017641986e-05
105.0,0.528788,0.005,0.005,-0.001204569,0.0004908654000000001,5.1857756917067735e-05
110.0,0.530292,0.005,0.005,-0.0011581596000000002,0.0004929012,5.0538303848447504e-05
115.0,0.543115,0.006,0.008,-0.0011128104,0.00048544559999999997,4.9418037744440725e-05
120.0,0.539284,0.006,0.008,-0.0010769634,0.00048591540000000004,4.829664854309971e-05
125.0,0.581267,0.006,0.001,-0.0010587132,0.00048522060000000006,4.71506837584809e-05
