v-sweep,v(vs),v(vg),v(vd),i(v.xdut.v1),i(v.xdut.v2),i(v.xdut.v3),id1,id2,id3,vsg,vsd,gm1,gm2,gm3
0.0,1.8,1.8,0.0,6.36247e-06,-1.44715e-05,2.68536e-05,6.36247,-14.4715,26.8536,0.0,1.8,,,
0.01,1.8,1.79,0.0,7.45473e-07,1.48803e-06,2.68473e-06,0.7454729999999999,1.48803,2.68473,0.010000000000000009,1.8,-561.6996999999996,1595.9529999999986,-2416.886999999998
0.02,1.8,1.78,0.0,7.28742e-07,1.64807e-06,2.47768e-06,0.728742,1.64807,2.47768,0.020000000000000018,1.8,-1.6730999999999925,16.00399999999998,-20.705
0.03,1.8,1.77,0.0,7.25517e-07,1.64951e-06,2.47552e-06,0.7255170000000001,1.6495099999999998,2.47552,0.030000000000000027,1.8,-0.32249999999999196,0.14399999999998844,-0.21599999999999378
0.04,1.8,1.76,0.0,7.22246e-07,1.64969e-06,2.47572e-06,0.722246,1.64969,2.47572,0.040000000000000036,1.8,-0.3271000000000021,0.018000000000029086,0.01999999999999778
0.05,1.8,1.75,0.0,7.1887e-07,1.64985e-06,2.47594e-06,0.71887,1.64985,2.47594,0.050000000000000044,1.8,-0.3376000000000043,0.015999999999993783,0.02200000000001088
0.06,1.8,1.74,0.0,7.15396e-07,1.64998e-06,2.47616e-06,0.7153959999999999,1.64998,2.4761599999999997,0.06000000000000005,1.8,-0.3474000000000085,0.012999999999996336,0.02199999999996647
0.07,1.8,1.73,0.0,7.10523e-07,1.64859e-06,2.47531e-06,0.710523,1.64859,2.47531,0.07000000000000006,1.8,-0.4872999999999901,-0.13900000000000012,-0.08499999999997947
0.08,1.8,1.72,0.0,7.06888e-07,1.64867e-06,2.47548e-06,0.7068880000000001,1.64867,2.47548,0.08000000000000007,1.8,-0.36349999999999405,0.008000000000007994,0.01700000000002254
0.09,1.8,1.71,0.0,7.03173e-07,1.64871e-06,2.47566e-06,0.703173,1.6487100000000001,2.47566,0.09000000000000008,1.8,-0.37150000000000205,0.004000000000003997,0.017999999999984678
0.1,1.8,1.7,0.0,6.9938e-07,1.64871e-06,2.47583e-06,0.69938,1.6487100000000001,2.47583,0.10000000000000009,1.8,-0.3793000000000043,0.0,0.01700000000002254
0.11,1.8,1.69,0.0,6.95514e-07,1.64867e-06,2.47598e-06,0.695514,1.64867,2.47598,0.1100000000000001,1.8,-0.3866000000000033,-0.004000000000003997,0.014999999999965027
0.12,1.8,1.68,0.0,6.91577e-07,1.64858e-06,2.4761e-06,0.691577,1.6485800000000002,2.4760999999999997,0.1200000000000001,1.8,-0.3936999999999965,-0.008999999999992339,0.011999999999989786
0.13,1.8,1.67,0.0,6.87575e-07,1.64844e-06,2.47621e-06,0.687575,1.64844,2.47621,0.13000000000000012,1.8,-0.40019999999999467,-0.014000000000025091,0.011000000000027644
0.14,1.8,1.66,0.0,6.83508e-07,1.64824e-06,2.47628e-06,0.683508,1.64824,2.47628,0.14000000000000012,1.8,-0.4067000000000039,-0.01999999999999778,0.0070000000000014434
0.15,1.8,1.65,0.0,6.79381e-07,1.64798e-06,2.47632e-06,0.679381,1.64798,2.47632,0.15000000000000013,1.8,-0.4126999999999988,-0.02599999999999267,0.003999999999981792
0.16,1.8,1.64,0.0,6.75194e-07,1.64766e-06,2.47633e-06,0.675194,1.6476600000000001,2.47633,0.16000000000000014,1.8,-0.4187000000000048,-0.031999999999987566,0.0010000000000065503
0.17,1.8,1.63,0.0,6.70949e-07,1.64727e-06,2.4763e-06,0.670949,1.6472699999999998,2.4762999999999997,0.17000000000000015,1.8,-0.42449999999999394,-0.03900000000003342,-0.003000000000019651
0.18,1.8,1.62,0.0,6.66648e-07,1.6468e-06,2.47621e-06,0.6666479999999999,1.6468,2.47621,0.17999999999999994,1.8,-0.4301000000000202,-0.04699999999997584,-0.008999999999970336
0.19,1.8,1.61,0.0,6.62292e-07,1.64627e-06,2.47608e-06,0.662292,1.6462700000000001,2.47608,0.18999999999999995,1.8,-0.43559999999999116,-0.052999999999991894,-0.012999999999996336
0.2,1.8,1.6,0.0,6.57881e-07,1.64565e-06,2.47589e-06,0.6578809999999999,1.64565,2.47589,0.19999999999999996,1.8,-0.441100000000005,-0.06200000000000644,-0.01899999999999123
0.21,1.8,1.59,0.0,6.53415e-07,1.64495e-06,2.47563e-06,0.653415,1.64495,2.47563,0.20999999999999996,1.8,-0.4465999999999966,-0.07000000000001444,-0.02599999999999267
0.22,1.8,1.58,0.0,6.48894e-07,1.64416e-06,2.47531e-06,0.648894,1.64416,2.47531,0.21999999999999997,1.8,-0.45209999999999934,-0.07899999999998457,-0.032000000000031975
0.23,1.8,1.57,0.0,6.44316e-07,1.64328e-06,2.47491e-06,0.644316,1.64328,2.47491,0.22999999999999998,1.8,-0.4577999999999967,-0.0879999999999991,-0.03999999999999556
0.24,1.8,1.56,0.0,6.39681e-07,1.64231e-06,2.47442e-06,0.6396809999999999,1.64231,2.4744200000000003,0.24,1.8,-0.4635000000000052,-0.09700000000001366,-0.048999999999965696
0.25,1.8,1.55,0.0,6.34988e-07,1.64123e-06,2.47384e-06,0.634988,1.64123,2.47384,0.25,1.8,-0.4692999999999943,-0.10799999999999689,-0.05800000000002465
0.26,1.8,1.54,0.0,6.30233e-07,1.64005e-06,2.47316e-06,0.6302329999999999,1.64005,2.47316,0.26,1.8,-0.47550000000000603,-0.11799999999999577,-0.06800000000000134
0.27,1.8,1.53,0.0,6.25415e-07,1.63876e-06,2.47238e-06,0.6254149999999999,1.63876,2.4723800000000002,0.27,1.8,-0.48179999999999845,-0.12900000000000122,-0.07799999999997802
0.28,1.8,1.52,0.0,6.2053e-07,1.63735e-06,2.47147e-06,0.62053,1.63735,2.47147,0.28,1.8,-0.4884999999999913,-0.140999999999991,-0.09100000000001876
0.29,1.8,1.51,0.0,6.15575e-07,1.63581e-06,2.47045e-06,0.615575,1.63581,2.47045,0.29000000000000004,1.8,-0.4955000000000038,-0.15400000000000955,-0.10200000000000199
0.3,1.8,1.5,0.0,6.10546e-07,1.63415e-06,2.46928e-06,0.610546,1.63415,2.46928,0.30000000000000004,1.8,-0.5028999999999946,-0.16599999999999934,-0.11700000000001144
0.31,1.8,1.49,0.0,6.05438e-07,1.63236e-06,2.46797e-06,0.605438,1.63236,2.4679699999999998,0.31000000000000005,1.8,-0.5107999999999997,-0.17899999999999566,-0.13100000000001433
0.32,1.8,1.48,0.0,6.00247e-07,1.63042e-06,2.4665e-06,0.600247,1.63042,2.4665,0.32000000000000006,1.8,-0.5191000000000052,-0.1940000000000051,-0.1469999999999859
0.33,1.8,1.47,0.0,5.94967e-07,1.62833e-06,2.46486e-06,0.5949669999999999,1.6283299999999998,2.4648600000000003,0.33000000000000007,1.8,-0.5280000000000058,-0.20900000000001454,-0.16399999999996404
0.34,1.8,1.46,0.0,5.89591e-07,1.62608e-06,2.46304e-06,0.589591,1.62608,2.46304,0.3400000000000001,1.8,-0.5375999999999932,-0.22499999999998613,-0.18200000000003752
0.35,1.8,1.45,0.0,5.84113e-07,1.62367e-06,2.46102e-06,0.584113,1.62367,2.46102,0.3500000000000001,1.8,-0.5477999999999978,-0.2410000000000021,-0.2019999999999909
0.36,1.8,1.44,0.0,5.78527e-07,1.62108e-06,2.4588e-06,0.5785269999999999,1.6210799999999999,2.4588,0.3600000000000001,1.8,-0.5586000000000086,-0.259000000000009,-0.22199999999998868
0.37,1.8,1.43,0.0,5.72823e-07,1.61831e-06,2.45636e-06,0.5728230000000001,1.6183100000000001,2.45636,0.3700000000000001,1.8,-0.5703999999999815,-0.2769999999999715,-0.24399999999999955
0.38,1.8,1.42,0.0,5.66994e-07,1.61535e-06,2.45368e-06,0.566994,1.6153499999999998,2.4536800000000003,0.3800000000000001,1.8,-0.5829000000000079,-0.2960000000000293,-0.26799999999997914
0.39,1.8,1.41,0.0,5.61031e-07,1.61217e-06,2.45075e-06,0.5610310000000001,1.61217,2.45075,0.3900000000000001,1.8,-0.5962999999999935,-0.3179999999999736,-0.29300000000000964
0.4,1.8,1.4,0.0,5.54925e-07,1.60879e-06,2.44756e-06,0.554925,1.6087900000000002,2.4475599999999997,0.40000000000000013,1.8,-0.610600000000005,-0.3379999999999936,-0.31900000000004675
0.41,1.8,1.39,0.0,5.48664e-07,1.60518e-06,2.44409e-06,0.548664,1.60518,2.44409,0.41000000000000014,1.8,-0.6260999999999955,-0.361000000000011,-0.34699999999996367
0.42,1.8,1.38,0.0,5.4224e-07,1.60133e-06,2.44031e-06,0.54224,1.60133,2.44031,0.42000000000000015,1.8,-0.642399999999998,-0.3850000000000128,-0.3779999999999891
0.43,1.8,1.37,0.0,5.35642e-07,1.59723e-06,2.43623e-06,0.535642,1.59723,2.43623,0.42999999999999994,1.8,-0.6598000000000245,-0.41000000000000797,-0.40800000000001707
0.44,1.8,1.36,0.0,5.28857e-07,1.59287e-06,2.43181e-06,0.528857,1.59287,2.43181,0.43999999999999995,1.8,-0.6784999999999924,-0.43599999999999156,-0.44200000000000866
0.45,1.8,1.35,0.0,5.21875e-07,1.58824e-06,2.42704e-06,0.521875,1.5882399999999999,2.42704,0.44999999999999996,1.8,-0.6982000000000037,-0.463000000000013,-0.47700000000001586
0.46,1.8,1.34,0.0,5.14685e-07,1.58332e-06,2.42191e-06,0.5146850000000001,1.58332,2.42191,0.45999999999999996,1.8,-0.7189999999999912,-0.4919999999999809,-0.5129999999999852
0.47,1.8,1.33,0.0,5.07273e-07,1.5781e-06,2.4164e-06,0.507273,1.5781,2.4164,0.47,1.8,-0.7412000000000079,-0.5219999999999998,-0.5510000000000121
0.48,1.8,1.32,0.0,4.99629e-07,1.57257e-06,2.4105e-06,0.499629,1.57257,2.4105,0.48,1.8,-0.7643999999999977,-0.553000000000003,-0.5900000000000011
0.49,1.8,1.31,0.0,4.91741e-07,1.56673e-06,2.40418e-06,0.491741,1.56673,2.40418,0.49,1.8,-0.7888,-0.5840000000000062,-0.6319999999999654
0.5,1.8,1.3,0.0,4.83599e-07,1.56055e-06,2.39743e-06,0.483599,1.56055,2.39743,0.5,1.8,-0.8141999999999975,-0.6179999999999847,-0.675000000000025
0.51,1.8,1.29,0.0,4.75192e-07,1.55403e-06,2.39024e-06,0.475192,1.55403,2.39024,0.51,1.8,-0.840699999999999,-0.6520000000000076,-0.7190000000000023
0.52,1.8,1.28,0.0,4.66511e-07,1.54716e-06,2.38261e-06,0.466511,1.5471599999999999,2.38261,0.52,1.8,-0.8680999999999987,-0.6870000000000148,-0.7629999999999797
0.53,1.8,1.27,0.0,4.57548e-07,1.53993e-06,2.37451e-06,0.457548,1.53993,2.3745100000000003,0.53,1.8,-0.8962999999999991,-0.7229999999999841,-0.8099999999999767
0.54,1.8,1.26,0.0,4.48297e-07,1.53235e-06,2.36595e-06,0.448297,1.53235,2.36595,0.54,1.8,-0.9251000000000001,-0.7579999999999913,-0.8560000000000115
0.55,1.8,1.25,0.0,4.38753e-07,1.5244e-06,2.35692e-06,0.438753,1.5244,2.35692,0.55,1.8,-0.9543999999999988,-0.7950000000000117,-0.9030000000000086
0.56,1.8,1.24,0.0,4.28916e-07,1.51609e-06,2.34742e-06,0.428916,1.51609,2.34742,0.56,1.8,-0.9836999999999976,-0.8310000000000032,-0.9500000000000055
0.57,1.8,1.23,0.0,4.18787e-07,1.50743e-06,2.33746e-06,0.41878699999999996,1.50743,2.3374599999999996,0.5700000000000001,1.8,-1.0129000000000046,-0.8659999999999882,-0.9960000000000404
0.58,1.8,1.22,0.0,4.08352e-07,1.49839e-06,2.32674e-06,0.408352,1.49839,2.32674,0.5800000000000001,1.8,-1.0434999999999963,-0.9039999999999929,-1.071999999999961
0.59,1.8,1.21,0.0,3.97658e-07,1.48906e-06,2.31591e-06,0.397658,1.48906,2.31591,0.5900000000000001,1.8,-1.0693999999999972,-0.9330000000000053,-1.0829999999999886
0.6,1.8,1.2,0.0,3.86723e-07,1.47946e-06,2.305e-06,0.386723,1.47946,2.305,0.6000000000000001,1.8,-1.093500000000002,-0.9600000000000044,-1.0909999999999966
0.61,1.8,1.19,0.0,3.75525e-07,1.46956e-06,2.2934e-06,0.375525,1.46956,2.2934,0.6100000000000001,1.8,-1.1197999999999977,-0.9900000000000011,-1.1600000000000044
0.62,1.8,1.18,0.0,3.6411e-07,1.45942e-06,2.28148e-06,0.36411,1.4594200000000002,2.28148,0.6200000000000001,1.8,-1.1414999999999997,-1.0139999999999807,-1.191999999999992
0.63,1.8,1.17,0.0,3.52513e-07,1.44909e-06,2.26931e-06,0.352513,1.44909,2.26931,0.6300000000000001,1.8,-1.1596999999999957,-1.0330000000000163,-1.2170000000000225
0.64,1.8,1.16,0.0,3.40774e-07,1.43864e-06,2.25694e-06,0.340774,1.43864,2.25694,0.6400000000000001,1.8,-1.1738999999999988,-1.0450000000000061,-1.236999999999976
0.65,1.8,1.15,0.0,3.28943e-07,1.42812e-06,2.24447e-06,0.328943,1.42812,2.2444699999999997,0.6500000000000001,1.8,-1.1831000000000025,-1.0519999999999854,-1.2470000000000414
0.66,1.8,1.14,0.0,3.17078e-07,1.41764e-06,2.232e-06,0.31707799999999997,1.41764,2.2319999999999998,0.6600000000000001,1.8,-1.1865000000000003,-1.0480000000000036,-1.246999999999997
0.67,1.8,1.13,0.0,3.05247e-07,1.40727e-06,2.21964e-06,0.305247,1.40727,2.21964,0.6700000000000002,1.8,-1.183099999999997,-1.0369999999999981,-1.2359999999999693
