,vout1,name,type,time,OK
0,0.0001150641,tran_SchGtKttmmTtVt_29,Sch,Wed Nov 12 12:54:02 2025,True
1,-3.910138e-05,tran_SchGtKttmmTtVt_28,Sch,Wed Nov 12 12:54:02 2025,True
2,2.042281e-05,tran_SchGtKttmmTtVt_27,Sch,Wed Nov 12 12:54:01 2025,True
3,5.001394e-05,tran_SchGtKttmmTtVt_26,Sch,Wed Nov 12 12:54:00 2025,True
4,-7.52697e-05,tran_SchGtKttmmTtVt_25,Sch,Wed Nov 12 12:53:59 2025,True
5,-7.426771e-05,tran_SchGtKttmmTtVt_24,Sch,Wed Nov 12 12:53:59 2025,True
6,5.061389e-05,tran_SchGtKttmmTtVt_23,Sch,Wed Nov 12 12:53:58 2025,True
7,-2.932219e-05,tran_SchGtKttmmTtVt_22,Sch,Wed Nov 12 12:53:57 2025,True
8,0.000170413,tran_SchGtKttmmTtVt_21,Sch,Wed Nov 12 12:53:56 2025,True
9,1.238637e-05,tran_SchGtKttmmTtVt_20,Sch,Wed Nov 12 12:53:56 2025,True
10,0.0001039082,tran_SchGtKttmmTtVt_19,Sch,Wed Nov 12 12:53:55 2025,True
11,0.0002081195,tran_SchGtKttmmTtVt_18,Sch,Wed Nov 12 12:53:54 2025,True
12,0.0002008706,tran_SchGtKttmmTtVt_17,Sch,Wed Nov 12 12:53:54 2025,True
13,-4.221046e-05,tran_SchGtKttmmTtVt_16,Sch,Wed Nov 12 12:53:53 2025,True
14,7.907062e-05,tran_SchGtKttmmTtVt_15,Sch,Wed Nov 12 12:53:52 2025,True
15,-1.136795e-05,tran_SchGtKttmmTtVt_14,Sch,Wed Nov 12 12:53:51 2025,True
16,1.838485e-05,tran_SchGtKttmmTtVt_13,Sch,Wed Nov 12 12:53:51 2025,True
17,-5.320626e-06,tran_SchGtKttmmTtVt_12,Sch,Wed Nov 12 12:53:50 2025,True
18,0.000120114,tran_SchGtKttmmTtVt_11,Sch,Wed Nov 12 12:53:49 2025,True
19,-2.011717e-05,tran_SchGtKttmmTtVt_10,Sch,Wed Nov 12 12:53:49 2025,True
20,0.0001625972,tran_SchGtKttmmTtVt_9,Sch,Wed Nov 12 12:53:48 2025,True
21,5.574783e-05,tran_SchGtKttmmTtVt_8,Sch,Wed Nov 12 12:53:47 2025,True
22,3.475e-05,tran_SchGtKttmmTtVt_7,Sch,Wed Nov 12 12:53:46 2025,True
23,7.091103e-05,tran_SchGtKttmmTtVt_6,Sch,Wed Nov 12 12:53:46 2025,True
24,0.0001417411,tran_SchGtKttmmTtVt_5,Sch,Wed Nov 12 12:53:45 2025,True
25,0.0001303522,tran_SchGtKttmmTtVt_4,Sch,Wed Nov 12 12:53:44 2025,True
26,2.904604e-05,tran_SchGtKttmmTtVt_3,Sch,Wed Nov 12 12:53:43 2025,True
27,-7.152063e-05,tran_SchGtKttmmTtVt_2,Sch,Wed Nov 12 12:53:43 2025,True
28,0.0001583657,tran_SchGtKttmmTtVt_1,Sch,Wed Nov 12 12:53:42 2025,True
29,-5.240815e-05,tran_SchGtKttmmTtVt,Sch,Wed Nov 12 12:53:41 2025,True
