Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
-40.0,0.926403,0.009,0.008,273502.0,-0.05165416799999911,123.7848786,94.48290895328216,-0.05165416799999911,0.023473761233561707,0.024999757200000007,1.8,Typical
-39.0,0.926506,0.009,0.008,362302.0,-0.053432132400002226,123.7024584,92.22139631137073,-0.053432132400002226,0.02348021794171004,0.02499997679999876,1.8,Typical
-38.0,0.926618,0.009,0.008,362302.0,-0.05532188579999994,123.66259380000001,92.13640240278608,-0.05532188579999994,0.023514359544024182,0.024999786000000083,1.8,Typical
-37.0,0.926734,0.009,0.008,362302.0,-0.5453268911999999,123.526863,92.01824380996258,-0.5453268911999999,0.02318167713260503,0.024998956199999988,1.8,Typical
-36.0,0.926849,0.009,0.008,362302.0,-0.05896095120000022,123.4339488,91.91823201937035,-0.05896095120000022,0.023463884443527427,0.024999726599999893,1.8,Typical
-35.0,0.926964,0.009,0.008,273502.0,-0.060936767999999884,123.3435672,94.0963839040313,-0.060936767999999884,0.023480837515684302,0.024999260400000035,1.8,Typical
-34.0,0.92708,0.009,0.008,362302.0,-0.38959524449999994,123.2478792,91.81494706397555,-0.38959524449999994,0.02279333760960537,0.024999814799999957,1.8,Typical
-33.0,0.927201,0.009,0.008,362302.0,-0.3961173274199999,123.1500474,91.74121238127148,-0.3961173274199999,0.02279647473217436,0.024999854400000063,1.8,Typical
-32.0,0.927312,0.009,0.008,362302.0,-0.4026981185999999,123.0478578,91.63862387219353,-0.4026981185999999,0.022743008452428232,0.024998378400000007,1.8,Typical
-31.0,0.927435,0.009,0.008,362302.0,-0.40916741274,122.94508319999998,91.52618303020529,-0.40916741274,0.022732312072294734,0.024998599800000066,1.8,Typical
-30.0,0.927554,0.009,0.008,273502.0,-0.4157012527199999,122.8366206,93.64241256419402,-0.4157012527199999,0.022733230343879626,0.024999166799999896,1.8,Typical
-29.0,0.927675,0.009,0.008,362302.0,-0.42229401083999996,122.72327820000001,91.35942380715944,-0.42229401083999996,0.022713849045661785,0.024999584399999955,1.8,Typical
-28.0,0.92779,0.009,0.008,362302.0,-0.42879694661999984,122.6061576,91.26168707694652,-0.42879694661999984,0.02275570786186555,0.024999859800001037,1.8,Typical
-27.0,0.927912,0.009,0.008,362302.0,-0.43536180059999985,122.4848286,91.16668992691352,-0.43536180059999985,0.022678367136141415,0.024999863400000048,1.8,Typical
-26.0,0.928032,0.009,0.008,362302.0,-0.44191853406000015,122.3569548,90.8471749094734,-0.44191853406000015,0.022673801578730977,0.024998394599999994,1.8,Typical
-25.0,0.928155,0.009,0.008,273502.0,-0.4483630781999999,122.2242966,92.94024121338852,-0.4483630781999999,0.022724992173833915,0.024999494399999912,1.8,Typical
-24.0,0.928279,0.009,0.008,362302.0,-0.45492094980000014,122.08763879999998,90.6746865072717,-0.45492094980000014,0.022705685209544135,0.024999199200000013,1.8,Typical
-23.0,0.928407,0.009,0.008,388302.0,-0.4614830136,121.94227260000001,93.65227146160963,-0.4614830136,0.022671040347135633,0.024999407999999886,1.8,Typical
-22.0,0.928525,0.009,0.008,390302.0,-0.46814493059999995,121.78564920000001,93.54997539607467,-0.46814493059999995,0.02269399814764924,0.024998941799999924,1.8,Typical
-21.0,0.928652,0.009,0.008,328502.0,-0.4747008978,121.6209456,93.91892951497267,-0.4747008978,0.022665805059854723,0.024999202799999957,1.8,Typical
-20.0,0.928781,0.009,0.008,331502.0,-0.4813044912000001,121.44865860000002,95.84050604798131,-0.4813044912000001,0.021805924733918104,0.024999089399999994,1.8,Typical
-19.0,0.888642,0.01,0.001,295102.0,-0.5406298578000006,129.28311539999999,97.56092773694856,-0.5406298578000006,0.022553975215384294,0.024999496199999967,1.8,Typical
-18.0,0.929036,0.009,0.0,335202.0,-0.4944530304,115.70005439999998,88.38627642084225,-0.4944530304,0.022757976848865213,0.024999897599999935,1.8,Typical
-17.0,0.889296,0.01,0.001,295102.0,-0.5552465022000007,129.4888896,97.43024777747897,-0.5552465022000007,0.022560077929423876,0.024999384599999466,1.8,Typical
-16.0,0.889628,0.01,0.001,295102.0,-0.5595656904000006,129.580362,97.34443683703773,-0.5595656904000006,0.022523029104120504,0.024998813999999512,1.8,Typical
-15.0,0.889954,0.01,0.001,295102.0,-0.5666874353999998,129.6853434,96.38322733307287,-0.5666874353999998,0.022521828036004183,0.024999793200000058,1.8,Typical
-14.0,0.890298,0.01,0.001,295102.0,-0.5738518080000004,129.7953234,97.16722920251965,-0.5738518080000004,0.02250784427230452,0.024998270400000012,1.8,Typical
-13.0,0.890626,0.01,0.001,295102.0,-0.5811419952000001,129.8541762,97.01713029004682,-0.5811419952000001,0.022494215519064154,0.024999674399999998,1.8,Typical
-12.0,0.89096,0.01,0.001,296102.0,-0.5887027133999999,129.8692404,96.85845335574813,-0.5887027133999999,0.022497595889517042,0.024999670799999353,1.8,Typical
-11.0,0.891293,0.01,0.001,297102.0,-0.5962999895999999,129.9540294,96.7801759246293,-0.5962999895999999,0.022489743666698526,0.024999496199997626,1.8,Typical
-10.0,0.89163,0.01,0.001,298102.0,-0.6038042039999997,130.080897,95.68732613239877,-0.6038042039999997,0.022444426568508563,0.024997447799999947,1.8,Typical
-9.0,0.891972,0.01,0.001,324102.0,-0.6112693565999993,128.937141,96.79854339259656,-0.6112693565999993,0.022443573827779825,0.02499940440000164,1.8,Typical
-8.0,0.892313,0.01,0.001,325202.0,-0.6191603586000007,125.0443386,96.40453663993596,-0.6191603586000007,0.022420158849711266,0.024999607799999452,1.8,Typical
-7.0,0.892645,0.01,0.001,325202.0,-0.6264569231999998,124.8861222,96.222426151098,-0.6264569231999998,0.022418656025362065,0.024999037199999997,1.8,Typical
-6.0,0.891958,0.01,0.001,325302.0,-0.6337431000000003,124.6986792,96.0473590718387,-0.6337431000000003,0.022414720583122303,0.024999433199999848,1.8,Typical
-5.0,0.892305,0.01,0.001,325302.0,-0.6410970377999996,124.52974019999999,95.90176557423788,-0.6410970377999996,0.02231172165370064,0.024997024800000142,1.8,Typical
-4.0,0.892655,0.01,0.001,325302.0,-0.6484890204,124.35809220000002,95.8754671481099,-0.6484890204,0.022414350958704754,0.024997447799999937,1.8,Typical
-3.0,0.893007,0.01,0.001,325302.0,-0.6558949134000001,124.17859800000001,95.66899788252171,-0.6558949134000001,0.02241775767572357,0.0249998525999999,1.8,Typical
-2.0,0.893358,0.01,0.001,325302.0,-0.6634255878,123.994188,95.45069960034964,-0.6634255878,0.022323319961484758,0.024997100400000055,1.8,Typical
-1.0,0.893704,0.01,0.001,325302.0,-0.6708515058000001,123.8050422,95.23197487876105,-0.6708515058000001,0.022388615785586437,0.02499840180000008,1.8,Typical
0.0,0.894067,0.01,0.001,325302.0,-0.6784118856000003,123.61268520000002,94.92460184526357,-0.6784118856000003,0.022269922717325127,0.02499693479999983,1.8,Typical
1.0,0.894421,0.01,0.001,325302.0,-0.6859903428000002,123.41582820000002,94.8070206459748,-0.6859903428000002,0.0223248533800218,0.024999094799999972,1.8,Typical
2.0,0.894775,0.01,0.001,325302.0,-0.6935836752000003,123.2132868,94.6033812763191,-0.6935836752000003,0.02232634025204798,0.024998968799999962,1.8,Typical
3.0,0.895135,0.01,0.001,325302.0,-0.7012382687999998,122.9907096,94.37442548790101,-0.7012382687999998,0.02230901488945571,0.024999343200000128,1.8,Typical
4.0,0.895492,0.01,0.001,325302.0,-0.7089164261999998,122.89788900000002,94.13268091711498,-0.7089164261999998,0.02227119653322991,0.024999672600000165,1.8,Typical
5.0,0.895851,0.01,0.001,325302.0,-0.12291083640000024,122.68241100000002,93.80680602897523,-0.12291083640000024,0.0233859547835128,0.024997023000000052,1.8,Typical
6.0,0.896216,0.01,0.001,325302.0,-0.06665614920000032,122.46546600000002,93.68462838095148,-0.06665614920000032,0.02355338034461025,0.024998839199999043,1.8,Typical
7.0,0.896572,0.01,0.001,325302.0,-0.05715851580000031,122.257593,93.45154668849099,-0.05715851580000031,0.023528160995024118,0.024998493599999994,1.8,Typical
8.0,0.896943,0.01,0.001,325302.0,-0.05222219400000015,122.028921,93.24499593113241,-0.05222219400000015,0.023596625053604485,0.02499793920000012,1.8,Typical
9.0,0.897304,0.01,0.001,325302.0,-0.05167097099999988,121.7946798,92.31548611156767,-0.05167097099999988,0.02357299139297433,0.02499881760000005,1.8,Typical
10.0,0.897672,0.01,0.001,325302.0,-0.051860921399999566,121.08176640000002,92.6629562149447,-0.051860921399999566,0.02358218681805265,0.02499904979999997,1.8,Typical
11.0,0.89803,0.01,0.001,325302.0,-0.05230778400000002,120.82432499999999,92.48721363641974,-0.05230778400000002,0.023614981632304577,0.02499703919999993,1.8,Typical
12.0,0.898404,0.01,0.001,325302.0,-0.053176462199999906,120.72163499999999,92.23621512414203,-0.053176462199999906,0.023553345104579498,0.024999672600000137,1.8,Typical
13.0,0.898768,0.01,0.001,325302.0,-0.05422075200000004,120.40218720000001,91.96885197057807,-0.05422075200000004,0.02354649897281637,0.024997589999999945,1.8,Typical
14.0,0.899134,0.01,0.001,325302.0,-0.055284512399999854,120.0782682,91.71348368171692,-0.055284512399999854,0.023613559363123864,0.024999897600000168,1.8,Typical
15.0,0.899508,0.01,0.001,325302.0,-0.056496614400000124,119.7420156,91.42544379772539,-0.056496614400000124,0.02365315765552518,0.024998668199999786,1.8,Typical
16.0,0.899871,0.01,0.001,325302.0,-0.05783429699999969,119.39571719999999,91.1940899916656,-0.05783429699999969,0.023602486004035538,0.02499813359999989,1.8,Typical
17.0,0.900248,0.01,0.001,325302.0,-0.05917024259999993,119.0489724,90.91009223473229,-0.05917024259999993,0.02362606547753562,0.02499685920000015,1.8,Typical
18.0,0.900624,0.01,0.001,325302.0,-0.06059894940000039,116.8079742,90.65336805244992,-0.06059894940000039,0.023613306869318652,0.024997248000000038,1.8,Typical
19.0,0.901002,0.01,0.001,325302.0,-0.06196661459999892,116.53604460000001,90.3795538149135,-0.06196661459999892,0.02360975761070977,0.02499874920000088,1.8,Typical
