Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
0.0,0.894067,0.01,0.001,325302.0,-0.6784118856000003,123.61268520000002,94.92460184526357,-0.6784118856000003,0.022269922717325127,0.02499693479999983,1.8,Typical
0.5,0.894245,0.01,0.001,325302.0,-0.6821438382000001,123.51357540000001,94.92625428928936,-0.6821438382000001,0.022367831232734673,0.0249991758,1.8,Typical
1.0,0.894421,0.01,0.001,325302.0,-0.6859903428000002,123.41582820000002,94.8070206459748,-0.6859903428000002,0.0223248533800218,0.024999094799999972,1.8,Typical
1.5,0.894596,0.01,0.001,325302.0,-0.6897856517999997,123.3155124,94.72026145560085,-0.6897856517999997,0.02234321065364079,0.024999577200000015,1.8,Typical
2.0,0.894775,0.01,0.001,325302.0,-0.6935836752000003,123.2132868,94.6033812763191,-0.6935836752000003,0.02232634025204798,0.024998968799999962,1.8,Typical
2.5,0.894956,0.01,0.001,325302.0,-0.6974220852000005,123.1061274,94.47998088111287,-0.6974220852000005,0.022301578604694505,0.024998642999999987,1.8,Typical
3.0,0.895135,0.01,0.001,325302.0,-0.7012382687999998,122.9907096,94.37442548790101,-0.7012382687999998,0.02230901488945571,0.024999343200000128,1.8,Typical
3.5,0.89531,0.01,0.001,325302.0,-0.7050227147999999,123.004683,94.26208501688588,-0.7050227147999999,0.02233464209227411,0.02499850440000005,1.8,Typical
4.0,0.895492,0.01,0.001,325302.0,-0.7089164261999998,122.89788900000002,94.13268091711498,-0.7089164261999998,0.02227119653322991,0.024999672600000165,1.8,Typical
4.5,0.895669,0.01,0.001,325302.0,-0.7127256131999998,122.7910536,94.03025925492598,-0.7127256131999998,0.022308630557924154,0.02499796439999994,1.8,Typical
5.0,0.895851,0.01,0.001,325302.0,-0.12291083640000024,122.68241100000002,93.80680602897523,-0.12291083640000024,0.0233859547835128,0.024997023000000052,1.8,Typical
