Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW)
-40.0,0.828004,0.009,0.004,-1.7294058000000003e-05,0.0005946282,0.00010234034722948393
-35.0,0.825479,0.009,0.004,-1.575702e-05,0.0005991354,0.0001042596117535978
-30.0,0.827099,0.009,0.004,-1.4720796e-05,0.0006042204000000001,0.0001036379064900111
-25.0,0.828723,0.009,0.004,-3.712464e-05,0.000590625,0.00010247047266843343
-20.0,0.842524,0.009,0.004,-1.4995314e-05,0.0006146694,0.00010170478228771742
-15.0,0.835083,0.009,0.004,-1.4847246000000002e-05,0.0006198354,0.00010116278256490439
-10.0,0.837487,0.009,0.004,-7.961057999999999e-05,0.0006247692,0.00010064395014724709
-5.0,0.839095,0.009,0.004,-4.242996e-05,0.0006321906,9.915051244457812e-05
0.0,0.854967,0.009,0.005,-5.860332e-05,0.0006391278,9.831902964546281e-05
5.0,0.856622,0.009,0.005,-7.63911e-05,0.000645237,9.696975302275259e-05
10.0,0.858291,0.009,0.005,-4.455684e-05,0.0006530544,9.56907187405978e-05
15.0,0.859973,0.009,0.005,-5.753682000000001e-05,0.0006609852,9.431960785507437e-05
20.0,0.861669,0.009,0.005,-7.314354e-05,0.0006680466,9.284701165281497e-05
25.0,0.863381,0.009,0.005,-8.893962e-05,0.0006763572,9.17751518115028e-05
30.0,0.849965,0.009,0.004,-0.00010686258,0.0006842609999999999,8.886913649423427e-05
35.0,0.866868,0.009,0.005,-0.00012369366,0.0006914898,8.780960416563421e-05
40.0,0.868649,0.009,0.005,-0.00013451075999999998,0.0006994908,8.639555743843116e-05
45.0,0.870458,0.009,0.005,-0.00014634882,0.0007070616,8.49432393699078e-05
50.0,0.8723,0.009,0.005,-0.0001854792,0.0006876684,8.199655426387813e-05
55.0,0.874176,0.009,0.005,-5.322996e-05,0.0007137864,8.189768607269969e-05
60.0,0.876088,0.009,0.005,-5.8237020000000006e-05,0.00073035,8.080661710503715e-05
65.0,0.878038,0.009,0.005,-8.711046e-05,0.0007132140000000001,7.730363212698708e-05
70.0,0.880029,0.009,0.005,-6.474528000000001e-05,0.0007499070000000001,7.782044964437913e-05
75.0,0.898838,0.009,0.006,-0.00013746204,0.0007248006,7.356935167622941e-05
80.0,0.900841,0.009,0.006,-0.00014596236,0.0007343496,7.210149990086812e-05
85.0,0.890281,0.009,0.006,-8.77536e-05,0.0007753032,7.398818740176844e-05
90.0,0.892507,0.009,0.006,-9.67887e-05,0.0007833348000000001,7.271697999664828e-05
95.0,0.89478,0.009,0.006,-0.00010678986,0.0007903080000000001,7.147063992361493e-05
100.0,0.897095,0.009,0.006,-0.00011711718,0.0007948224,7.013988044101246e-05
105.0,0.899453,0.009,0.006,-0.00013125978,0.0007965576,6.888444574608535e-05
110.0,0.901857,0.009,0.006,-0.0001373373,0.0007966746,6.778870508384364e-05
115.0,0.904307,0.009,0.006,-0.00013953168,0.0007904106,6.671025802894399e-05
120.0,0.906796,0.009,0.006,-0.00013870476,0.0007833726,6.522110989712718e-05
125.0,0.909334,0.009,0.006,-0.00013602636,0.0007720794,6.402619341741122e-05
