Temperature (°C),Output voltage (V),Coarse code,Fine code,Timestamp (ns),Minimum power (uW),Maximum power (uW),Average power (uW),Sleep min power (uW),Sleep avg power (uW),Sleep max power (uW),Voltage supply (V),Process corner
-40.0,0.926403,0.009,0.008,273502.0,-0.05165416799999911,123.7848786,94.48290895328216,-0.05165416799999911,2.1786261014512833,117.61326000000001,1.8,Typical
-35.0,0.926964,0.009,0.008,273502.0,-0.060936767999999884,123.3435672,94.0963839040313,-0.060936767999999884,2.22645750702439,118.5146748,1.8,Typical
-30.0,0.927554,0.009,0.008,273502.0,-0.4157012527199999,122.8366206,93.64241256419402,-0.4157012527199999,2.2340421406159234,118.71682379999999,1.8,Typical
-25.0,0.928155,0.009,0.008,273502.0,-0.4483630781999999,122.2242966,92.94024121338852,-0.4483630781999999,2.166170388936044,115.36573320000001,1.8,Typical
-20.0,0.928781,0.009,0.008,331502.0,-0.4813044912000001,121.44865860000002,95.84050604798131,-0.4813044912000001,3.4308433340379567,114.3903384,1.8,Typical
-15.0,0.889954,0.01,0.001,295102.0,-0.5666874353999998,129.6853434,96.38322733307287,-0.5666874353999998,2.451516091728482,129.6853434,1.8,Typical
-10.0,0.89163,0.01,0.001,298102.0,-0.6038042039999997,130.080897,95.68732613239877,-0.6038042039999997,2.471948535892677,130.080897,1.8,Typical
-5.0,0.892305,0.01,0.001,325302.0,-0.6410970377999996,124.52974019999999,95.90176557423788,-0.6410970377999996,2.4607100915914017,124.52974019999999,1.8,Typical
0.0,0.894067,0.01,0.001,325302.0,-0.6784118856000003,123.61268520000002,94.92460184526357,-0.6784118856000003,2.4572461734275635,123.61268520000002,1.8,Typical
5.0,0.895851,0.01,0.001,325302.0,-0.12291083640000024,122.68241100000002,93.80680602897523,-0.12291083640000024,2.472484728827275,122.68241100000002,1.8,Typical
10.0,0.897672,0.01,0.001,325302.0,-0.051860921399999566,121.08176640000002,92.6629562149447,-0.051860921399999566,2.4496625687604774,121.08176640000002,1.8,Typical
15.0,0.899508,0.01,0.001,325302.0,-0.056496614400000124,119.7420156,91.42544379772539,-0.056496614400000124,2.46720598995139,119.7420156,1.8,Typical
20.0,0.901373,0.01,0.001,325302.0,-0.06335806859999962,116.2580724,90.06767421811286,-0.06335806859999962,2.363385097856377,116.2580724,1.8,Typical
