Temperature (°C),Output voltage (V),Coarse code,Fine code,Minimum power (uW),Maximum power (uW),Average power (uW),Voltage supply (V),Process corner
-40.0,0.916333,0.009,0.008,-7.50924e-05,0.0006159168,0.00010126463299961605,1.8,Typical
-35.0,0.916935,0.009,0.008,-2.543418e-05,0.0006373404,0.00010134341257659718,1.8,Typical
-30.0,0.917575,0.009,0.008,-1.959732e-05,0.000649305,0.000100635698677951,1.8,Typical
-25.0,0.918256,0.009,0.008,-3.8994660000000005e-05,0.000634995,9.962529370264766e-05,1.8,Typical
-20.0,0.928565,0.009,0.008,-1.9585080000000002e-05,0.000660636,9.998950660539612e-05,1.8,Typical
-15.0,0.930253,0.009,0.009,1.0557972000000001e-06,0.0006825276,9.941247395398686e-05,1.8,Typical
-10.0,0.891613,0.01,0.001,-3.071934e-05,0.0006729246000000001,0.00010289177631705986,1.8,Typical
-5.0,0.892325,0.01,0.001,-4.908438e-05,0.0006783516,0.0001020373124911826,1.8,Typical
0.0,0.894087,0.01,0.001,-6.477534e-05,0.000687096,0.00010082338761880716,1.8,Typical
5.0,0.895872,0.01,0.001,-8.435718e-05,0.0006928326,9.979854683991525e-05,1.8,Typical
10.0,0.897693,0.01,0.001,-0.00013957848000000002,0.0006865542,9.828927573198279e-05,1.8,Typical
15.0,0.899529,0.01,0.001,-3.139254e-05,0.0007455798,9.868000754932317e-05,1.8,Typical
20.0,0.901394,0.01,0.001,-8.146368e-05,0.0007182918,9.565779715780459e-05,1.8,Typical
25.0,0.903286,0.01,0.001,-6.550938e-05,0.0007598412,9.583711432772103e-05,1.8,Typical
30.0,0.905206,0.01,0.001,-0.00011681478000000001,0.0007357824000000001,9.27266226461692e-05,1.8,Typical
35.0,0.907148,0.01,0.001,-0.00013778748,0.000740367,9.123260699335973e-05,1.8,Typical
40.0,0.909125,0.01,0.001,-0.00014576724,0.0007523639999999999,8.9191252472331e-05,1.8,Typical
45.0,0.911129,0.01,0.001,-0.00015821730000000001,0.0007606404000000001,8.762116065824366e-05,1.8,Typical
50.0,0.913159,0.01,0.001,-0.000172863,0.0007668719999999999,8.613948097446517e-05,1.8,Typical
55.0,0.915231,0.01,0.001,-6.058836e-05,0.0007778178,8.475802593693725e-05,1.8,Typical
60.0,0.917332,0.01,0.001,-6.262326e-05,0.0007874657999999999,8.319470916995258e-05,1.8,Typical
65.0,0.918791,0.01,0.001,-0.00010147194,0.0007623,8.025831954375516e-05,1.8,Typical
70.0,0.921598,0.01,0.001,-7.527744e-05,0.000806058,8.03340791384538e-05,1.8,Typical
75.0,0.923808,0.01,0.001,-8.160354e-05,0.0008166186,7.86867414300489e-05,1.8,Typical
80.0,0.926049,0.01,0.001,-8.9523e-05,0.0008261298,7.71741218259803e-05,1.8,Typical
85.0,0.927716,0.01,0.001,-9.77571e-05,0.0008358084000000001,7.572348934144984e-05,1.8,Typical
90.0,0.930074,0.01,0.001,-0.00010854108000000001,0.000843489,7.437659726744846e-05,1.8,Typical
95.0,0.932598,0.01,0.001,-0.00011706894000000001,0.0008518392,7.289260566447455e-05,1.8,Typical
100.0,0.95033,0.009,0.008,-0.00012795246,0.0008569692,7.111256765474116e-05,1.8,Typical
105.0,0.952292,0.009,0.008,-0.00014327532000000002,0.0008590752,6.980181866594904e-05,1.8,Typical
110.0,0.954296,0.009,0.008,-0.00015042024,0.0008585532,6.845697439397795e-05,1.8,Typical
115.0,0.936374,0.009,0.007,-0.00015054156,0.0008540964000000001,6.72492827432153e-05,1.8,Typical
120.0,0.964143,0.009,0.008,-0.0002383884,0.0008956691999999999,6.473086111186992e-05,1.8,Typical
125.0,0.940973,0.009,0.007,-0.00014753862,0.0008335944,6.476326443762767e-05,1.8,Typical
