Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns)
0.837122,Fast-Fast,1.7,-40.0,0.0105882,0.00423529,360102.0,98.56470969515564,-0.5308534715999995,134.7688583,0.0204708662,0.00805800000000001,0.875805,61800.0
0.950819,Fast-Fast,1.9,-40.0,0.00757895,0.00757895,363602.0,130.68957147902867,0.026339521399999823,169.86018259,0.02633973419999982,-0.007489999999999997,0.894127,
0.772028,Fast-Slow,1.7,-40.0,0.0105882,0.00423529,368502.0,76.85500651274036,-0.09335684963000052,106.8161578,0.020561591800000247,0.012047999999999948,0.998551,61900.0
0.924396,Fast-Slow,1.9,-40.0,0.00757895,0.00757895,367702.0,104.28577688111095,-0.7791726606,128.64178379999998,0.028375635499999805,-0.010310999999999959,1.02718,
0.838611,Slow-Fast,1.7,-40.0,0.0105882,0.00529412,380502.0,91.84993381821533,-0.16348108530999983,122.3380401,0.020676151399999933,0.008599999999999941,0.862062,61900.0
0.938624,Slow-Fast,1.9,-40.0,0.00757895,0.00757895,363702.0,116.68597732010404,-0.07510181110000001,149.9517563,0.025795807900000002,-0.0061989999999999545,0.873945,
0.795185,Slow-Slow,1.7,-40.0,0.0105882,0.00529412,380602.0,73.22905396855539,-0.17801040441999963,102.1792684,0.020735911499999968,0.011090000000000044,1.1968,62000.0
0.902121,Slow-Slow,1.9,-40.0,0.00757895,0.00663158,362702.0,97.35981023634189,-0.13139522123999994,140.66390687999998,0.025705139900000017,-0.004059000000000035,1.24099,
0.851936,Fast-Fast,1.7,0.0,0.0105882,0.00529412,379302.0,95.89534874699454,-0.06280005700000231,127.90650910000001,0.021054510199997746,0.008593000000000073,0.793771,61900.0
0.952232,Fast-Fast,1.9,0.0,0.00757895,0.00852632,400000.0,124.07135467529199,0.02143378409999984,161.91515429589998,0.03237981139999983,-0.006444000000000005,0.801421,56398.0
0.820557,Fast-Slow,1.7,0.0,0.0105882,0.00741176,332902.0,71.87477899882619,0.02147672390000001,98.81246599999999,0.021486799800000102,0.014376999999999973,0.872206,62000.0
1.0006,Fast-Slow,1.9,0.0,0.00852632,0.00663158,358002.0,89.7278968366698,-1.4701101856999994,119.23547849999999,0.047172985299999116,-0.014246999999999899,0.920898,62700.0
0.870156,Slow-Fast,1.7,0.0,0.0105882,0.00529412,380502.0,88.84608633797008,-0.16556805545999997,116.5316153,0.020778329899999958,0.0067390000000000505,0.79034,61900.0
0.956121,Slow-Fast,1.9,0.0,0.00757895,0.00757895,340702.0,113.1234128165747,-0.10373032576999998,138.2538059,0.02599223940000002,-0.006219000000000086,0.797945,
0.834098,Slow-Slow,1.7,0.0,0.0105882,0.00635294,400000.0,68.18764995793173,-0.6110460696500002,92.6803127,0.020532837999997874,0.00930999999999993,0.852582,61098.0
0.882468,Slow-Slow,1.9,0.0,0.00852632,0.000947368,326602.0,90.5829112735945,-0.04986484069999997,118.895468313,0.0258571494000001,0.0011039999999999939,0.887395,
0.865573,Fast-Fast,1.7,40.0,0.0105882,0.00529412,380502.0,86.40944918892653,-1.0023278115,114.52981090000002,0.023326019600000705,0.008257999999999988,0.722182,61900.0
0.955414,Fast-Fast,1.9,40.0,0.00757895,0.00852632,400000.0,112.50934638321915,0.02673192117999967,152.866701834,0.06399796979999986,-0.006189,0.726413,57298.0
0.881989,Fast-Slow,1.7,40.0,0.0116471,0.00529412,386702.0,67.86350713878105,-0.23075303821000026,87.84073451,0.027451282100000144,0.005894000000000066,0.752186,61900.0
0.985203,Fast-Slow,1.9,40.0,0.00852632,0.00663158,356102.0,79.03482876254158,-0.12370396690000017,108.5501255,0.13431728899999887,-0.0032200000000000006,0.769459,62800.0
0.900402,Slow-Fast,1.7,40.0,0.0105882,0.00529412,380502.0,81.02635691620408,-0.5257966628199997,107.25366810000001,0.02107508189999971,0.004607000000000028,0.722093,61900.0
0.971933,Slow-Fast,1.9,40.0,0.00757895,0.00757895,338602.0,104.49568907020245,-0.0697875577716,128.3722403,0.02626368100000001,-0.006759999999999988,0.727676,
0.875759,Slow-Slow,1.7,40.0,0.0105882,0.00741176,333002.0,60.07033456816694,-0.21633654549900008,84.3168465,0.0206704955,0.008319999999999994,0.744909,62000.0
0.902991,Slow-Slow,1.9,40.0,0.00852632,0.000947368,298702.0,79.7454631710293,-0.6615537307900001,103.85065979999999,0.02602923809999996,0.0010629999999999251,0.74741,
0.89509,Fast-Fast,1.7,80.0,0.0105882,0.00635294,400000.0,75.51580559680662,-1.1370769039000004,104.26765889999999,0.03328205939999706,0.006585000000000063,0.652613,61398.0
0.96076,Fast-Fast,1.9,80.0,0.00757895,0.00852632,400000.0,100.17125573755723,0.15995954459999984,156.283113,0.18606257489999986,-0.00531500000000007,0.654643,57298.0
0.898577,Fast-Slow,1.7,80.0,0.0116471,0.00529412,384702.0,58.604771120617514,-0.21837884310000047,76.8418377,0.0525774368000001,0.005237999999999965,0.669415,61900.0
0.961607,Fast-Slow,1.9,80.0,0.00852632,0.00568421,373302.0,73.7067497330218,0.2780324435,113.6703614,0.438443715,0.0027850000000000374,0.680173,61800.0
0.909389,Slow-Fast,1.7,80.0,0.0105882,0.00317647,344502.0,68.56321702888884,-0.058795921199999476,93.5734604,0.02201344790000004,0.00363099999999994,0.651358,62900.0
0.963168,Slow-Fast,1.9,80.0,0.00757895,0.00568421,378702.0,95.11203870951005,-0.20216442681,127.25191271,0.027998158699999977,0.0017159999999999398,0.657573,
0.894271,Slow-Slow,1.7,80.0,0.0105882,0.00741176,333202.0,51.73808591831252,-0.7728800360099999,73.04210429,0.02093152540000014,0.004838000000000009,0.665027,62100.0
0.931087,Slow-Slow,1.9,80.0,0.00757895,0.00663158,388802.0,71.38789732285457,43.04290019999999,96.42266869999999,,0.005049999999999999,0.672244,
