Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns)
0.926403,Typical,1.8,-40.0,0.009,0.008,362302.0,92.27270755903326,-0.05165416799999911,123.7848786,0.02309298839999997,-0.006229999999999958,1.07524,62800.0
0.926506,Typical,1.8,-39.0,0.009,0.008,362302.0,92.22139631137073,-0.053432132400002226,123.7024584,0.023101912799998757,-0.006141000000000063,1.06846,62800.0
0.926618,Typical,1.8,-38.0,0.009,0.008,362302.0,92.13640240278608,-0.05532188579999994,123.66259380000001,0.02314471680000008,-0.006057999999999897,1.06131,62800.0
0.926734,Typical,1.8,-37.0,0.009,0.008,362302.0,92.01824380996258,-0.5453268911999999,123.526863,0.023128389000000017,-0.00597700000000001,1.05375,62800.0
0.926849,Typical,1.8,-36.0,0.009,0.008,362302.0,91.91823201937035,-0.05896095120000022,123.4339488,0.02308055940000001,-0.005905000000000049,1.04573,62800.0
0.926964,Typical,1.8,-35.0,0.009,0.008,273502.0,94.0963839040313,-0.060936767999999884,123.3435672,0.023101916400000044,-0.005831999999999948,1.03717,62800.0
0.92708,Typical,1.8,-34.0,0.009,0.008,362302.0,91.81494706397555,-0.38959524449999994,123.2478792,0.023159680200000043,-0.005759999999999987,1.028,62800.0
0.927201,Typical,1.8,-33.0,0.009,0.008,362302.0,91.74121238127148,-0.3961173274199999,123.1500474,0.0231776964000001,-0.005703000000000014,1.01815,62800.0
0.927312,Typical,1.8,-32.0,0.009,0.008,362302.0,91.63862387219353,-0.4026981185999999,123.0478578,0.023121689399999992,-0.005639999999999978,1.00752,62800.0
0.927435,Typical,1.8,-31.0,0.009,0.008,362302.0,91.52618303020529,-0.40916741274,122.94508319999998,0.023122137599999985,-0.005579000000000001,0.996056,62800.0
