Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.945475,ttmm,1.8,-40.0,0.011,0.004,600000.0,103.04306536276663,0.01967818194000003,145.0163538,0.023053059,0.0007859999999999534,1.12789,58295.0,0
0.967888,ttmm,1.8,-40.0,0.009,0.008,535205.0,102.08200321637682,-0.35242966008,133.6307706,0.023107177799999934,-0.007167999999999952,1.10218,62803.0,1
0.927322,ttmm,1.8,-40.0,0.011,0.004,600000.0,103.26901229640441,0.02307389039999991,143.8235946,0.02308730579999998,0.0023600000000000287,1.10637,58895.0,2
0.826267,ttmm,1.8,-40.0,0.012,0.005,540505.0,101.64703407043875,0.010547673299998794,137.4866244,0.023045633999998857,0.015346000000000082,1.02738,61903.0,3
0.867256,ttmm,1.8,-40.0,0.012,0.004,600000.0,104.72036584341447,0.0047077045200005765,140.7410784,0.023044053599999455,0.010004000000000013,1.04128,54895.0,4
0.840934,ttmm,1.8,-40.0,0.012,0.005,540505.0,105.90522982830717,-0.3803491011599999,141.5826144,0.023047468199999487,0.011964000000000086,1.07614,61903.0,5
0.867942,ttmm,1.8,-40.0,0.011,0.006,556302.0,103.56732751779374,0.023026712400000066,144.45548100000002,0.023039150400002262,0.016368999999999967,1.11889,61897.00000000006,6
0.989568,ttmm,1.8,-40.0,0.01,0.009,564405.0,96.86494402679591,-0.1517074736400005,128.7190206,0.023109857999995483,-0.00754100000000002,1.12191,62700.00000000006,7
0.868387,ttmm,1.8,-40.0,0.011,0.004,600000.0,99.80216265475838,0.023033138400000014,140.4465624,0.023044780799999953,0.007542999999999966,1.06425,57298.0,8
0.882402,ttmm,1.8,-40.0,0.012,0.004,600000.0,103.00448959223243,0.013775021712002145,139.6718514,0.023049451800002268,0.007081000000000004,1.12511,53895.0,9
0.896778,ttmm,1.8,-40.0,0.013,0.003,593305.0,105.1870566886085,0.008243915486399935,136.0505124,0.023055501600000028,0.004517000000000104,1.09705,61800.0,10
0.895121,ttmm,1.8,-40.0,0.013,0.006,564702.0,108.03168127360844,-0.5513815224000005,141.296085,0.023033977200000524,0.009358000000000088,1.0554,61896.99999999994,11
0.928385,ttmm,1.8,-40.0,0.012,0.004,600000.0,109.08264194403593,0.023037654600000027,144.2662866,0.023049635399997662,0.0012569999999999526,1.20852,51898.0,12
0.875712,ttmm,1.8,-40.0,0.011,0.005,535305.0,101.05518424049897,0.02304260639999995,142.24267079999998,0.02305328760000231,0.011716999999999977,1.0794,61903.0,13
0.896622,ttmm,1.8,-40.0,0.011,0.004,600000.0,100.57731868482378,0.023038343999999933,141.300378,0.02305152539999773,0.006036000000000041,1.11831,58295.0,14
0.834497,ttmm,1.8,-40.0,0.011,0.004,600000.0,96.5798367805874,0.023037348600000028,136.7405424,0.023050537200004537,0.01161000000000001,1.05345,58295.0,15
0.86705,ttmm,1.8,-40.0,0.011,0.006,556302.0,99.10692761927523,-0.45411167681999776,139.67856179999998,0.02304254700000221,0.01706199999999991,1.04792,61897.00000000006,16
0.868612,ttmm,1.8,-40.0,0.012,0.004,522505.00000000006,105.26572134439994,-0.5057377595999996,138.2116554,0.023047356599999968,0.009461000000000053,1.08661,61903.00000000006,17
0.901703,ttmm,1.8,-40.0,0.012,0.006,560502.0,106.51977080759679,0.016552511099999383,143.4430944,0.023052729600000023,0.010182000000000024,1.1058,61897.00000000006,18
1.00976,ttmm,1.8,-40.0,0.009,0.007,558002.0,105.64953265786755,-0.41692021524,139.9373766,0.023115542400000022,-0.012904000000000027,1.13892,62697.0,19
,ttmm,1.8,-40.0,,,,103.68086961917885,44.02275624000001,118.170486,,,,,20
0.89313,ttmm,1.8,-40.0,0.011,0.004,600000.0,100.35698871181883,0.023037733799999988,141.2466822,0.023049592200000028,0.00390299999999999,1.07834,58295.0,21
0.920653,ttmm,1.8,-40.0,0.011,0.004,600000.0,99.49525778963262,0.02021205779999986,140.90462100000002,0.023054716800000076,0.0028930000000000344,1.05619,58295.0,22
,ttmm,1.8,-40.0,,,,112.836358228952,45.41272326,127.0983222,,,,,23
0.851847,ttmm,1.8,-40.0,0.011,0.005,535105.0,101.83915645369072,0.01850577894000058,142.9973856,0.023049154800000627,0.01506200000000002,1.01625,61903.0,24
,ttmm,1.8,-40.0,,,,115.40170505470721,45.5819985,129.14917020000001,,,,,25
