Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (ns),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (ns),monte carlo run
0.902002,Fast-Fast,1.7,-40.0,0.0137647,0.00423529,524405.0,113.87193774057812,-0.17194012823000016,143.4407487,0.02046598039999884,0.00698399999999999,0.891908,61803.0,0
0.97057,Fast-Fast,1.9,-40.0,0.00947368,0.00852632,597702.0,132.72246964438318,-1.5320951695299996,179.5734061,0.026343767899997678,-0.003681999999999963,0.90714,62800.0,0
0.832086,Fast-Slow,1.7,-40.0,0.0137647,0.00423529,524605.0,88.66166563453841,-1.2610692394999996,112.9763458,0.020547281200000284,0.01041000000000003,1.02106,61903.0,0
0.921741,Fast-Slow,1.9,-40.0,0.0104211,0.00378947,595805.0,98.41921423002572,-0.32966196240000023,137.9299433,0.0283655350999997,0.0004490000000000327,1.04312,61703.0,0
0.902744,Slow-Fast,1.7,-40.0,0.0137647,0.00529412,544602.0,102.7520952605292,-0.4992141901999998,129.9712815,0.020531664999999952,0.008314999999999961,0.870835,61900.0,0
0.943115,Slow-Fast,1.9,-40.0,0.0104211,0.00189474,576002.0,119.00974922709851,-0.09294562499999999,164.33840619999998,0.0258808063,0.0010989999999999611,0.877391,61697.00000000006,0
0.853363,Slow-Slow,1.7,-40.0,0.0137647,0.00529412,544705.0,82.25777050445011,-0.1648063521,108.6726428,0.020416702499999956,0.010104000000000002,1.22364,62003.0,0
0.917403,Slow-Slow,1.9,-40.0,0.0104211,0.00284211,557102.0,91.63432486877677,-0.21245278431000006,128.8959715,0.025791113000000004,0.0003670000000000062,1.25704,61699.99999999994,0
0.868387,Typical,1.8,-40.0,0.011,0.006,556302.0,100.59104618832063,-0.43876190340000243,141.82695900000002,0.02304498599999773,0.013699999999999934,1.07799,61897.00000000006,0
0.915284,Fast-Fast,1.7,0.0,0.0137647,0.00423529,524405.0,108.22745068512398,-1.0379918104299994,134.81990249999998,0.02089710890000012,0.005408999999999997,0.802155,61803.0,0
0.971402,Fast-Fast,1.9,0.0,0.00947368,0.00852632,542702.0,121.68300893478235,-1.5256053021000011,169.07280529999997,0.032379385800004455,-0.003341999999999956,0.808158,62800.0,0
0.856465,Fast-Slow,1.7,0.0,0.0137647,0.00635294,564702.0,80.06453088891712,-1.599374911209999,104.7587328,0.02147621219999975,0.012326999999999977,0.897337,61999.99999999994,0
0.909392,Fast-Slow,1.9,0.0,0.0104211,0.00378947,600000.0,94.10483379450832,-0.2781141093000015,134.3059156,0.04708782919999877,0.0035490000000000244,0.917207,58295.0,0
0.929545,Slow-Fast,1.7,0.0,0.0137647,0.00423529,523401.99999999994,99.54047063188693,-0.15443429068000003,123.56381149999999,0.02059900880000003,0.004097000000000017,0.796836,61799.99999999994,0
0.976394,Slow-Fast,1.9,0.0,0.00947368,0.00757895,558903.0,109.24296991986792,-0.08533109968999997,142.4000771,0.026012463,-0.004406000000000021,0.801568,62797.99999999994,0
0.878322,Slow-Slow,1.7,0.0,0.0137647,0.00529412,544802.0,75.98167253704118,0.016091030399999942,97.12795299999998,0.020532990999999945,0.008537999999999935,0.937421,62000.0,0
0.955675,Slow-Slow,1.9,0.0,0.0104211,0.00378947,595805.0,83.88350069573156,-0.48555344834999997,119.14303787599998,0.025939622699998846,-4.300000000001525e-05,1.05257,61703.0,0
0.880126,Typical,1.8,0.0,0.011,0.006,556302.0,93.02995647700803,-0.04418740620000008,128.6571834,0.023192479799999922,0.012484999999999968,0.818429,61897.00000000006,0
0.920991,Fast-Fast,1.7,40.0,0.0137647,0.00317647,593205.0,97.62005996369312,-0.16486772210000006,120.77341619999999,0.022992746500000324,0.0034399999999999986,0.728733,61803.0,0
0.973991,Fast-Fast,1.9,40.0,0.00947368,0.00852632,600000.0,108.29696952607644,0.01685939695800009,154.923338081,0.06401449029999996,-0.004345000000000043,0.733483,62595.0,0
0.884037,Fast-Slow,1.7,40.0,0.0137647,0.00741176,584802.0,71.44211170971536,0.01849822700000022,93.517560456,0.027440966500000035,0.010196000000000094,0.76162,61999.99999999994,0
0.916306,Fast-Slow,1.9,40.0,0.0104211,0.00378947,600000.0,82.4480483666425,-0.37115791109999996,120.17441860000001,0.13424311870000002,0.003247,0.764529,57298.0,0
0.903051,Slow-Fast,1.7,40.0,0.0127059,0.00635294,566802.0,86.96561001942742,-0.007415138880000008,112.21194589999999,0.020845903199999998,0.007638000000000034,0.723132,61999.99999999994,0
0.991533,Slow-Fast,1.9,40.0,0.00947368,0.00663158,553705.0,100.12184113471145,-0.3473663862200001,134.4548566,0.026286192199999992,-0.007319999999999993,0.731386,62702.99999999994,0
0.912945,Slow-Slow,1.7,40.0,0.0137647,0.00529412,544602.0,67.21759596748625,-0.00425981153300002,89.6485497,0.020677916000000008,0.004652999999999907,0.75549,61900.0,0
0.925481,Slow-Slow,1.9,40.0,0.0104211,0.000947368,473302.0,82.1798107574566,-0.037598459699998026,109.06193230000001,0.02603661960000164,0.0008589999999999431,0.757128,128800.0,0
0.894408,Typical,1.8,40.0,0.011,0.006,556702.0,81.95840130277587,-0.12498543899999978,115.82696484,0.023662625400000022,0.009588000000000041,0.735705,61897.00000000006,0
