,vdd_9ns,idd_9ns,name,type,time,OK
0,1.7,-181.0501,SchGtKssThVl,Sch,Sat May 16 14:53:59 2026,False
1,1.7,-232.7787,SchGtKffThVl,Sch,Sat May 16 14:54:01 2026,True
2,1.7,-203.6814,SchGtKsfThVl,Sch,Sat May 16 14:54:04 2026,True
3,1.7,-203.6814,SchGtKfsThVl,Sch,Sat May 16 14:54:06 2026,True
4,1.7,-195.8049,SchGtKssTlVl,Sch,Sat May 16 14:54:09 2026,True
5,1.7,-251.74920000000003,SchGtKffTlVl,Sch,Sat May 16 14:54:11 2026,True
6,1.7,-220.28060000000002,SchGtKsfTlVl,Sch,Sat May 16 14:54:14 2026,True
7,1.7,-220.28060000000002,SchGtKfsTlVl,Sch,Sat May 16 14:54:16 2026,True
8,1.9,-202.3501,SchGtKssThVh,Sch,Sat May 16 14:54:19 2026,True
9,1.9,-260.16450000000003,SchGtKffThVh,Sch,Sat May 16 14:54:21 2026,True
10,1.9,-227.6439,SchGtKsfThVh,Sch,Sat May 16 14:54:24 2026,True
11,1.9,-227.6439,SchGtKfsThVh,Sch,Sat May 16 14:54:27 2026,True
12,1.9,-218.84079999999997,SchGtKssTlVh,Sch,Sat May 16 14:54:29 2026,True
13,1.9,-281.3668,SchGtKffTlVh,Sch,Sat May 16 14:54:31 2026,False
14,1.9,-246.19589999999997,SchGtKsfTlVh,Sch,Sat May 16 14:54:34 2026,True
15,1.9,-246.19589999999997,SchGtKfsTlVh,Sch,Sat May 16 14:54:37 2026,True
