,vdd_9ns,idd_9ns,name,type,time,OK
0,1.8,-226.80110000000002,SchGtKttmmTtVt,Sch,Thu May 28 17:37:29 2026,True
1,1.8,-237.6416,1,,Thu May 28 17:37:29 2026,True
2,1.8,-235.8552,2,,Thu May 28 17:37:30 2026,True
3,1.8,-230.4989,3,,Thu May 28 17:37:30 2026,True
4,1.8,-228.83929999999998,4,,Thu May 28 17:37:30 2026,True
5,1.8,-222.4589,5,,Thu May 28 17:37:30 2026,True
6,1.8,-234.9945,6,,Thu May 28 17:37:30 2026,True
7,1.8,-226.9957,7,,Thu May 28 17:37:30 2026,True
8,1.8,-228.6437,8,,Thu May 28 17:37:30 2026,True
9,1.8,-227.62650000000002,9,,Thu May 28 17:37:30 2026,True
10,1.8,-219.0457,10,,Thu May 28 17:37:30 2026,True
11,1.8,-228.7879,11,,Thu May 28 17:37:30 2026,True
12,1.8,-229.6954,12,,Thu May 28 17:37:30 2026,True
13,1.8,-236.411,13,,Thu May 28 17:37:30 2026,True
14,1.8,-232.0297,14,,Thu May 28 17:37:30 2026,True
15,1.8,-234.3135,15,,Thu May 28 17:37:30 2026,True
16,1.8,-235.0623,16,,Thu May 28 17:37:30 2026,True
17,1.8,-227.5804,17,,Thu May 28 17:37:30 2026,True
18,1.8,-240.84799999999998,18,,Thu May 28 17:37:30 2026,True
19,1.8,-235.1796,19,,Thu May 28 17:37:30 2026,True
20,1.8,-231.57510000000002,20,,Thu May 28 17:37:30 2026,True
21,1.8,-233.53539999999998,21,,Thu May 28 17:37:30 2026,True
22,1.8,-235.4414,22,,Thu May 28 17:37:30 2026,True
23,1.8,-223.5976,23,,Thu May 28 17:37:30 2026,True
24,1.8,-224.1301,24,,Thu May 28 17:37:30 2026,True
25,1.8,-225.9259,25,,Thu May 28 17:37:30 2026,True
26,1.8,-228.566,26,,Thu May 28 17:37:30 2026,True
27,1.8,-236.446,27,,Thu May 28 17:37:30 2026,True
28,1.8,-229.48930000000001,28,,Thu May 28 17:37:30 2026,True
29,1.8,-223.1498,29,,Thu May 28 17:37:30 2026,True
30,1.8,-223.1939,30,,Thu May 28 17:37:30 2026,True
31,1.8,-239.65189999999998,31,,Thu May 28 17:37:30 2026,True
32,1.8,-225.8728,32,,Thu May 28 17:37:30 2026,True
33,1.8,-220.7389,33,,Thu May 28 17:37:30 2026,True
34,1.8,-231.6499,34,,Thu May 28 17:37:30 2026,True
35,1.8,-233.7827,35,,Thu May 28 17:37:30 2026,True
36,1.8,-237.4625,36,,Thu May 28 17:37:30 2026,True
37,1.8,-224.48600000000002,37,,Thu May 28 17:37:30 2026,True
38,1.8,-225.94060000000002,38,,Thu May 28 17:37:30 2026,True
39,1.8,-227.581,39,,Thu May 28 17:37:30 2026,True
40,1.8,-235.8315,40,,Thu May 28 17:37:30 2026,True
41,1.8,-227.0071,41,,Thu May 28 17:37:30 2026,True
42,1.8,-229.981,42,,Thu May 28 17:37:30 2026,True
43,1.8,-228.4471,43,,Thu May 28 17:37:30 2026,True
44,1.8,-236.644,44,,Thu May 28 17:37:30 2026,True
45,1.8,-230.10780000000003,45,,Thu May 28 17:37:30 2026,True
46,1.8,-238.4459,46,,Thu May 28 17:37:30 2026,True
47,1.8,-217.1554,47,,Thu May 28 17:37:30 2026,True
48,1.8,-226.4795,48,,Thu May 28 17:37:30 2026,True
49,1.8,-228.20340000000002,49,,Thu May 28 17:37:30 2026,True
50,1.8,-232.1303,50,,Thu May 28 17:37:31 2026,True
