Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (us),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (us)
0.45673,Fast-Fast,1.9,-40.0,0.00284211,0.00663158,549.3050000000001,114.10395510077682,-0.3050834335989998,153.96129399999998,0.02587816339999999,-0.014025999999999983,0.866254,62.70300000000009
0.358323,Slow-Slow,1.7,-40.0,0.00423529,0.00423529,600.0,62.96955980613295,-0.06355069029999998,88.59086239999999,0.019999913500000015,9.999999999998899e-05,1.11669,59.997999999999934
0.413476,Typical,1.8,-40.0,0.003,0.008,539.005,82.70857713828039,-0.023012593739998866,111.8022804,0.022612779000001127,-0.009000999999999926,0.902691,62.702999999999975
0.454496,Fast-Fast,1.9,0.0,0.00284211,0.00852632,597.005,107.6137906742961,-0.30272313179000004,137.6553477,0.03209090689999998,-0.006498000000000004,0.789374,64.70000000000005
0.398885,Slow-Slow,1.7,0.0,0.00529412,0.00105882,528.902,60.53128097370274,-0.27380960750000005,82.2952218,0.020267173900000005,0.0007570000000000077,0.807571,128.70000000000005
0.492746,Typical,1.8,0.0,0.004,0.007,560.4050000000001,75.5264818349194,-0.21808541105999993,100.203939,0.02295458100000002,-0.012411999999999979,0.801094,67.7000000000001
0.549483,Fast-Fast,1.9,40.0,0.00378947,0.00663158,546.702,93.846112882091,-0.30950214503899753,122.1631904,0.06386881730000234,-0.011793000000000053,0.723908,62.700000000000045
0.492991,Slow-Slow,1.7,40.0,0.00529412,0.00635294,554.602,47.915335317253486,-0.025610459540000005,71.51874959,0.020597130299999992,0.0004549999999999832,0.734729,62.80000000000001
0.499111,Typical,1.8,40.0,0.004,0.008,527.3050000000001,68.45175266170874,0.0071770209443974145,98.36433036,0.023554268999997418,-0.005483000000000016,0.724443,60.803000000000054
0.554396,Fast-Fast,1.9,80.0,0.00378947,0.00852632,595.4019999999999,79.90358313339061,0.18389939848999873,106.56615119999998,0.1859784447999988,-0.004925999999999986,0.650637,64.69699999999989
0.535431,Slow-Slow,1.7,80.0,0.00529412,0.00847059,600.0,42.53855166756097,-0.36854670769999875,66.50325472,0.020905845200001143,-0.003086000000000033,0.658632,59.89499999999998
0.514376,Typical,1.8,80.0,0.005,0.004,600.0,58.29805507122758,-0.030901166999997468,88.0125894,0.026964910800002233,0.00183499999999992,0.649822,57.298
0.637615,Fast-Fast,1.9,125.0,0.00473684,0.00568421,557.605,69.18171917505113,0.5569069860000035,108.563036,0.6457736910000034,-0.002690999999999999,0.573086,61.69999999999999
0.57787,Slow-Slow,1.7,125.0,0.00635294,0.00529412,548.302,36.91336409671534,-0.12039043832999996,55.977107,0.023414038800000016,0.0028489999999999904,0.575733,61.900000000000034
0.538713,Typical,1.8,125.0,0.005,0.006,558.105,47.77553974444012,0.048439425599999426,70.8937434,0.04857613199999943,0.0032520000000000326,0.565535,62.19999999999999
