Output voltage (V),Process corner,Voltage supply (V),Temperature (°C),Coarse code,Fine code,Timestamp (us),Mean active power (uW),Minimum active power (uW),Maximum active power (uW),Sleep power (uW),Error voltage (V),Feed voltage (V),Start-up time (us),monte carlo run
0.287694,Fast-Fast,1.7,-40.0,0.00423529,0.00211765,502.80500000000006,83.19889686873199,-0.27625628796,116.77851989999999,0.019762823,0.0015640000000000098,0.853749,82.70300000000009,0
0.323454,Fast-Fast,1.9,-40.0,0.00284211,0.00473684,510.30499999999995,111.20798594381431,0.008407500379999978,152.96599609999998,0.02556412759999993,0.0029319999999999347,0.866058,103.70299999999997,0
0.277518,Fast-Slow,1.7,-40.0,0.00423529,0.00317647,548.9050000000001,63.981861463848915,0.019886962099999995,99.32196449999999,0.019906608999999995,0.0034890000000000754,0.938824,83.80300000000005,0
0.304976,Fast-Slow,1.9,-40.0,0.00284211,0.00473684,510.50499999999994,88.28034326454778,-0.09436560329999999,122.0919176,0.02770703500000005,0.0032360000000000166,0.956388,83.80299999999994,0
0.286235,Slow-Fast,1.7,-40.0,0.00423529,0.00211765,533.902,74.89351308125916,-0.23160323983,107.5838149,0.01974664580000001,0.0016490000000000116,0.849085,83.70000000000005,0
0.307449,Slow-Fast,1.9,-40.0,0.00284211,0.00378947,530.302,99.52858826135729,-0.26709431754,137.7820169,0.02501950780000001,0.0014419999999999433,0.852815,103.70000000000005,0
0.2741,Slow-Slow,1.7,-40.0,0.00423529,0.00211765,567.8019999999999,59.536062082027904,-0.03776532899699999,91.51449859999998,0.01972360909999999,0.00330700000000006,1.11149,83.79999999999995,0
0.322034,Slow-Slow,1.9,-40.0,0.00284211,0.00473684,510.402,81.1701989398808,-0.005252839560000001,108.7363046,0.025075487500000004,0.0007900000000000684,1.1557,83.80000000000001,0
0.304334,Typical,1.8,-40.0,0.003,0.006,580.202,82.38560794317601,-0.18195146010000005,126.56158020000001,0.022499647199999973,0.0049280000000000435,0.902852,83.80000000000007,0
0.317194,Fast-Fast,1.7,0.0,0.00423529,0.00529412,531.0020000000001,76.47872812094909,-0.20434953410999884,119.78849569999998,0.020267211300001104,0.006420999999999899,0.784412,83.80000000000007,0
0.360883,Fast-Fast,1.9,0.0,0.00284211,0.00663158,555.205,101.36641255510844,0.02753487201,147.35022119999996,0.0317044621,0.0029089999999999394,0.789334,82.803,0
0.336431,Fast-Slow,1.7,0.0,0.00529412,0.00211765,491.6019999999999,59.87781847279743,-0.27048480836,87.21343213,0.02095830040000027,0.0014079999999999648,0.817617,103.69999999999993,0
0.390908,Fast-Slow,1.9,0.0,0.00284211,0.00757895,565.1020000000001,77.2883262263406,0.02926852340000007,109.98335819999998,0.0466294143,-0.008009000000000044,0.832981,105.80000000000013,0
0.317533,Slow-Fast,1.7,0.0,0.00423529,0.00529412,508.102,71.8285367897456,0.019150070053000005,111.2929106,0.019912708600000002,0.00541999999999998,0.781523,83.89999999999998,0
0.34054,Slow-Fast,1.9,0.0,0.00284211,0.00568421,578.302,95.83295839745624,0.025087921100001184,142.9303937,0.025137305900001187,0.005400999999999989,0.786613,83.80000000000007,0
0.329694,Slow-Slow,1.7,0.0,0.00423529,0.00635294,513.0020000000001,54.80502729583896,0.019908011500000027,83.96752710000001,0.019977283100000028,0.005650000000000044,0.808557,83.90000000000009,0
0.331274,Slow-Slow,1.9,0.0,0.00284211,0.00568421,581.4019999999999,74.47214120595056,0.025365885400001134,108.657737301,0.0266476235,0.0067469999999999475,0.809189,83.89999999999992,0
0.33622,Typical,1.8,0.0,0.004,0.003,543.702,73.63369856376559,-0.18618009731999996,112.01432580000001,0.022602396600000005,0.002210999999999963,0.791615,83.69999999999999,0
0.364829,Fast-Fast,1.7,40.0,0.00529412,0.00211765,555.8050000000001,70.13346066150037,0.014446492900000078,103.4654017,0.02247275899999988,0.003971000000000058,0.715004,103.80300000000005,0
0.372155,Fast-Fast,1.9,40.0,0.00378947,0.00284211,546.8050000000001,89.69615957083853,-0.01849068903999943,133.9570737,0.06339373560000056,0.0031999999999999806,0.715972,83.80300000000005,0
0.345083,Fast-Slow,1.7,40.0,0.00529412,0.00317647,577.305,50.54373715668419,0.02698636099999775,74.39912402,0.02699821509999768,0.007399999999999962,0.725236,103.90299999999996,0
0.388505,Fast-Slow,1.9,40.0,0.00378947,0.00473684,506.005,64.92101646288262,0.09302999830000162,103.0389133,0.1338187860000029,0.004546999999999968,0.733775,83.803,0
0.377287,Slow-Fast,1.7,40.0,0.00529412,0.00211765,552.6049999999999,65.1666887210603,0.0201930216,96.1497645,0.020303504599999998,0.0021120000000000028,0.71529,103.80299999999994,0
0.382208,Slow-Fast,1.9,40.0,0.00378947,0.00189474,543.005,86.38896995939737,-0.18660601415399888,120.15117419,0.025648225400000023,0.0014100000000000223,0.715806,103.70300000000003,0
0.364631,Slow-Slow,1.7,40.0,0.00529412,0.00317647,577.305,48.882724087125055,-0.07373140159000001,72.7936872,0.02018343189999999,0.004271000000000025,0.725345,103.90299999999996,0
0.3762,Slow-Slow,1.9,40.0,0.00378947,0.00284211,595.002,63.63497008115444,0.02532581118900004,94.54100939999998,0.025592186800000038,0.002910999999999997,0.727005,107.79999999999995,0
0.352679,Typical,1.8,40.0,0.004,0.005,508.405,65.71083303897072,-0.01380723479999971,98.77331754000001,0.023188249800000286,0.007780000000000009,0.717728,83.90299999999996,0
0.379117,Fast-Fast,1.7,80.0,0.00529412,0.00423529,596.702,61.77841298188874,-0.16170015459999998,91.6865964,0.03276486840000006,0.00977400000000006,0.642523,103.99700000000001,0
0.390778,Fast-Fast,1.9,80.0,0.00378947,0.00473684,594.0020000000001,77.26731066978866,0.18531498380000003,115.16977109999999,0.18541419609999998,0.009093000000000018,0.644306,83.8970000000001,0
0.380275,Fast-Slow,1.7,80.0,0.00529412,0.00635294,559.602,45.56885299070277,-0.2141346759700005,65.2169045,0.05219989229999945,0.005452000000000012,0.648363,84.19999999999999,0
0.427861,Fast-Slow,1.9,80.0,0.00473684,0.00189474,491.00200000000007,58.519282249891496,0.34706044099999994,86.5808986,0.437934458,0.0015929999999999556,0.656681,103.80000000000007,0
0.401272,Slow-Fast,1.7,80.0,0.00529412,0.00423529,596.702,58.65587450045606,-0.10228229792000015,84.6996032,0.021497761399997734,0.0062229999999999785,0.644308,103.99700000000001,0
0.418918,Slow-Fast,1.9,80.0,0.00378947,0.00473684,507.10200000000003,71.64287769731062,-0.21741057875999886,111.03343860999999,0.027186340000001166,0.004632999999999998,0.646292,83.90000000000003,0
0.400907,Slow-Slow,1.7,80.0,0.00529412,0.00635294,598.202,43.54713341763309,-0.2523263950569997,61.880850459,0.020555810100001164,0.005688000000000026,0.65216,135.09999999999997,0
0.387249,Slow-Slow,1.9,80.0,0.00378947,0.00378947,556.702,52.227225767041006,-0.3391078878300002,86.3646596,0.026289182799999998,0.0087259999999999,0.650925,84.0,0
0.416064,Typical,1.8,80.0,0.005,0.003,577.002,56.54212869957471,-0.3384765291600003,87.7228524,0.026494369200000006,0.00371100000000002,0.649082,103.89999999999998,0
0.46688,Fast-Fast,1.7,125.0,0.00635294,0.00423529,518.505,54.49873560778705,0.07221620961000001,78.25950221,0.0804264543,0.004862999999999951,0.565984,103.90299999999996,0
0.474832,Fast-Fast,1.9,125.0,0.00473684,0.00284211,575.9050000000001,68.1477594284147,0.43961027700000005,102.5071527,0.6442392889999999,0.0033480000000000176,0.566718,103.80300000000005,0
0.4544,Fast-Slow,1.7,125.0,0.00635294,0.00635294,557.005,40.3189637180306,0.0875247703,58.8952131,0.1512293854,0.005649000000000015,0.57124,104.10300000000001,0
0.451936,Fast-Slow,1.9,125.0,0.00473684,0.00378947,596.805,57.161157400821615,1.210236692,81.3420932,1.431781442,0.0068549999999999445,0.571582,103.99999999999994,0
0.485298,Slow-Fast,1.7,125.0,0.00635294,0.00211765,600.0,51.189582163353776,-0.02883410136999972,72.55897499999999,0.029230590500000004,0.0015899999999999803,0.567179,97.89799999999997,0
0.448999,Slow-Fast,1.9,125.0,0.00378947,0.00663158,535.705,59.96746760274631,-0.11917954725000009,90.2509158,0.037867931,0.00418099999999999,0.562292,130.20300000000003,0
0.469397,Slow-Slow,1.7,125.0,0.00635294,0.00423529,516.702,37.31557061834735,-0.27317185198999944,55.4827181,0.022462970400000594,0.004198999999999953,0.573735,104.0,0
0.480814,Slow-Slow,1.9,125.0,0.00473684,0.00284211,514.505,45.068889516027845,-0.28413326978,66.2371407,0.03349129620000008,0.0022969999999999935,0.574959,103.90300000000002,0
0.448731,Typical,1.8,125.0,0.005,0.006,585.4019999999999,49.264649861753874,0.04577226876000001,70.8750864,0.04753159019999943,0.006301999999999919,0.566368,130.09999999999997,0
