,idd_3ns,iref_3ns,ibias_3ns,name,type,time,OK
0,-2.069867,1.289679,1.1284690000000002,SchGtKssThVl,Sch,Mon May 18 23:44:06 2026,False
1,-2.860829,1.34894,1.1803219999999999,SchGtKffThVl,Sch,Mon May 18 23:44:14 2026,False
2,-2.4830159999999997,1.3670870000000002,1.1962009999999998,SchGtKsfThVl,Sch,Mon May 18 23:44:22 2026,False
3,-2.3578390000000002,1.272157,1.113137,SchGtKfsThVl,Sch,Mon May 18 23:44:30 2026,False
4,-1.958516,1.16381,1.018333,SchGtKssTlVl,Sch,Mon May 18 23:44:38 2026,False
5,-2.735581,1.221806,1.069079,SchGtKffTlVl,Sch,Mon May 18 23:44:47 2026,False
6,-2.362421,1.2397660000000001,1.084795,SchGtKsfTlVl,Sch,Mon May 18 23:44:56 2026,False
7,-2.245796,1.1464919999999998,1.003179,SchGtKfsTlVl,Sch,Mon May 18 23:45:05 2026,False
8,-2.507116,1.514281,1.324994,SchGtKssThVh,Sch,Mon May 18 23:45:14 2026,False
9,-3.365937,1.573905,1.3771660000000001,SchGtKffThVh,Sch,Mon May 18 23:45:23 2026,False
10,-2.973033,1.593269,1.39411,SchGtKsfThVh,Sch,Mon May 18 23:45:32 2026,False
11,-2.740505,1.4958,1.3088240000000002,SchGtKfsThVh,Sch,Mon May 18 23:45:41 2026,False
12,-2.444737,1.3913980000000001,1.217472,SchGtKssTlVh,Sch,Mon May 18 23:45:50 2026,False
13,-3.291163,1.449571,1.2683730000000002,SchGtKffTlVh,Sch,Mon May 18 23:45:58 2026,False
14,-2.907128,1.4687780000000001,1.28518,SchGtKsfTlVh,Sch,Mon May 18 23:46:07 2026,False
15,-2.6600610000000002,1.3731039999999999,1.201465,SchGtKfsTlVh,Sch,Mon May 18 23:46:15 2026,False
