,iout,ivdd,vgate,name,type,time,OK
0,24.28323,-48.561479999999996,0.37473,tran_SchGtKfsTlVh,Sch,Tue Sep  9 00:52:13 2025,False
1,19.20294,-38.43425,0.2968305,tran_SchGtKsfTlVh,Sch,Tue Sep  9 00:52:12 2025,False
2,25.94617,-51.902649999999994,0.3505547,tran_SchGtKffTlVh,Sch,Tue Sep  9 00:52:12 2025,False
3,18.20582,-36.43268,0.3164939,tran_SchGtKssTlVh,Sch,Tue Sep  9 00:52:11 2025,False
4,29.65896,-59.219190000000005,0.4934406,tran_SchGtKfsThVh,Sch,Tue Sep  9 00:52:10 2025,False
5,23.54252,-47.06649,0.3926789,tran_SchGtKsfThVh,Sch,Tue Sep  9 00:52:09 2025,False
6,31.54882,-63.02056,0.4596803,tran_SchGtKffThVh,Sch,Tue Sep  9 00:52:09 2025,False
7,22.605259999999998,-45.17546,0.4238525,tran_SchGtKssThVh,Sch,Tue Sep  9 00:52:08 2025,False
8,24.28323,-48.561479999999996,0.37473,tran_SchGtKfsTlVl,Sch,Tue Sep  9 00:52:07 2025,False
9,19.20294,-38.43425,0.2968305,tran_SchGtKsfTlVl,Sch,Tue Sep  9 00:52:07 2025,False
10,25.94617,-51.902649999999994,0.3505547,tran_SchGtKffTlVl,Sch,Tue Sep  9 00:52:06 2025,False
11,18.20582,-36.43268,0.3164939,tran_SchGtKssTlVl,Sch,Tue Sep  9 00:52:05 2025,False
12,29.65896,-59.219190000000005,0.4934406,tran_SchGtKfsThVl,Sch,Tue Sep  9 00:52:05 2025,False
13,23.54252,-47.06649,0.3926789,tran_SchGtKsfThVl,Sch,Tue Sep  9 00:52:04 2025,False
14,31.54882,-63.02056,0.4596803,tran_SchGtKffThVl,Sch,Tue Sep  9 00:52:03 2025,False
15,22.605259999999998,-45.17546,0.4238525,tran_SchGtKssThVl,Sch,Tue Sep  9 00:52:02 2025,False
