Temperature (°C),Reference voltage (V)
-40.0,0.87906
-35.0,0.879839
-30.0,0.880659
-25.0,0.88152
-20.0,0.88242
-15.0,0.88336
-10.0,0.898612
-5.0,0.897415
0.0,0.898869
5.0,0.899523
10.0,0.900598
15.0,0.898414
20.0,0.902862
25.0,0.900902
30.0,0.906352
35.0,0.903549
40.0,0.904937
45.0,0.908354
50.0,0.909754
55.0,0.909366
60.0,0.910937
65.0,0.912594
70.0,0.0147436
75.0,0.0147452
80.0,0.0147475
85.0,0.0147533
90.0,0.0147615
95.0,0.0147761
100.0,0.0147991
105.0,0.0148344
110.0,0.929562
115.0,0.931663
120.0,0.933803
125.0,0.936111
