,iv1,iv2,vg1,vg2,vr,v1,v2,ivdd,ivss,vdd,vss,name,type,time,OK
0,57.7087,22.567069999999998,0.9897679,0.5667911,0.8912625000000001,0.0,0.0,-195.8647,-1.064049e-05,1.9,0.0,tran_SchGtKfsTlVh,Sch,Mon Sep 22 19:46:55 2025,False
1,64.81801,29.23286,0.8942531,0.5071604,1.000916,0.0,0.0,-197.5576,-9.868081e-06,1.9,0.0,tran_SchGtKsfTlVh,Sch,Mon Sep 22 19:46:54 2025,False
2,112.5017,75.57412,0.9435854,0.5357483,1.5198589999999998,0.0,0.0,-294.0453,-2.746284e-05,1.9,0.0,tran_SchGtKffTlVh,Sch,Mon Sep 22 19:46:55 2025,False
3,31.388149999999996,-1.679616,0.9384268,0.5368703,0.5455599,0.0,0.0,-143.22899999999998,-3.002653e-05,1.9,0.0,tran_SchGtKssTlVh,Sch,Mon Sep 22 19:46:55 2025,False
4,1759.605,2846.984,1.089719,0.641741,29.3731,0.0,0.0,-4711.3460000000005,-2.686599e-05,1.9,0.0,tran_SchGtKfsThVh,Sch,Mon Sep 22 19:46:54 2025,False
5,1705.918,2784.0910000000003,0.9803796,0.5632385,28.47684,0.0,0.0,-4584.355,-1.543076e-05,1.9,0.0,tran_SchGtKsfThVh,Sch,Mon Sep 22 19:46:53 2025,False
6,2388.955,4231.7,1.044234,0.6019223,34.89383,0.0,0.0,-6715.896000000001,-1.44663e-05,1.9,0.0,tran_SchGtKffThVh,Sch,Mon Sep 22 19:46:52 2025,False
7,1230.106,1813.694,1.025581,0.6017495,23.10104,0.0,0.0,-3147.873,-2.308128e-05,1.9,0.0,tran_SchGtKssThVh,Sch,Mon Sep 22 19:46:52 2025,False
8,8.889259,36.44496,0.8820466,0.5059674,0.1367018,0.0,0.0,56.64736,-1.773434e-05,1.7,0.0,tran_SchGtKfsTlVl,Sch,Mon Sep 22 19:46:51 2025,False
9,8.867342,-18.69661,0.7827251,0.4447237,0.1372943,0.0,0.0,-78.84246,-1.237562e-05,1.7,0.0,tran_SchGtKsfTlVl,Sch,Mon Sep 22 19:46:50 2025,False
10,17.31644,-12.51786,0.8336935,0.4740196,0.23430679999999998,0.0,0.0,-96.71813,3.438064e-06,1.7,0.0,tran_SchGtKffTlVl,Sch,Mon Sep 22 19:46:50 2025,False
11,4.242991,30.492340000000002,0.8278644,0.4745547,0.07318601,0.0,0.0,64.1821,-4.2758919999999996e-05,1.7,0.0,tran_SchGtKssTlVl,Sch,Mon Sep 22 19:46:49 2025,False
12,772.4606,997.9431000000001,0.9664769,0.5709075,12.89403,0.0,0.0,-1671.715,-3.565504e-05,1.7,0.0,tran_SchGtKfsThVl,Sch,Mon Sep 22 19:46:48 2025,False
13,726.1747,869.8329,0.8556303,0.4937734,12.12223,0.0,0.0,-1683.66,1.931369e-05,1.7,0.0,tran_SchGtKsfThVl,Sch,Mon Sep 22 19:46:47 2025,False
14,1097.6000000000001,1429.875,0.9207235,0.531701,16.0321,0.0,0.0,-2616.401,6.187799e-06,1.7,0.0,tran_SchGtKffThVl,Sch,Mon Sep 22 19:46:47 2025,False
15,496.21790000000004,611.3273999999999,0.9003956,0.5314243,9.318185999999999,0.0,0.0,-1009.928,-8.682165999999999e-05,1.7,0.0,tran_SchGtKssThVl,Sch,Mon Sep 22 19:46:46 2025,False
