,iv1,iv2,vg1,vg2,vr,v1,v2,ivdd,ivss,vdd,vss,name,type,time,OK
0,214.11929999999998,173.662,0.9188583,0.5281894,3.319723,0.0,0.0,-488.7687,6.154122e-06,1.8,0.0,tran_SchGtKttmmTtVt_29,Sch,Mon Sep 22 19:47:18 2025,False
1,190.2159,179.13639999999998,0.919395,0.5242171,2.9576770000000003,0.0,0.0,-470.338,4.19271e-06,1.8,0.0,tran_SchGtKttmmTtVt_28,Sch,Mon Sep 22 19:47:17 2025,False
2,193.12109999999998,171.60260000000002,0.9200852,0.5243624,2.985277,0.0,0.0,-465.73150000000004,1.310336e-05,1.8,0.0,tran_SchGtKttmmTtVt_27,Sch,Mon Sep 22 19:47:16 2025,False
3,199.4437,174.9065,0.9203656,0.5244301,3.135672,0.0,0.0,-475.3146,9.210861e-06,1.8,0.0,tran_SchGtKttmmTtVt_26,Sch,Mon Sep 22 19:47:15 2025,False
4,170.33939999999998,183.1213,0.9214684,0.5237764,2.703432,0.0,0.0,-454.52119999999996,1.5134240000000001e-05,1.8,0.0,tran_SchGtKttmmTtVt_25,Sch,Mon Sep 22 19:47:15 2025,False
5,168.982,191.1745,0.9197432,0.5222428,2.6222440000000002,0.0,0.0,-461.1707,-2.477004e-05,1.8,0.0,tran_SchGtKttmmTtVt_24,Sch,Mon Sep 22 19:47:14 2025,False
6,203.6432,175.4765,0.9183914,0.5241468,3.244471,0.0,0.0,-480.01829999999995,-1.202899e-05,1.8,0.0,tran_SchGtKttmmTtVt_23,Sch,Mon Sep 22 19:47:13 2025,False
7,178.24880000000002,175.4306,0.9225869,0.5246503,2.833725,0.0,0.0,-454.73,2.217411e-05,1.8,0.0,tran_SchGtKttmmTtVt_22,Sch,Mon Sep 22 19:47:12 2025,False
8,163.17860000000002,177.1915,0.9227335,0.5217323,2.560855,0.0,0.0,-441.46090000000004,1.819116e-05,1.8,0.0,tran_SchGtKttmmTtVt_21,Sch,Mon Sep 22 19:47:12 2025,False
9,207.1681,168.6596,0.9182935,0.5247106,3.237916,0.0,0.0,-476.7293,9.869832e-06,1.8,0.0,tran_SchGtKttmmTtVt_20,Sch,Mon Sep 22 19:47:11 2025,False
10,223.4889,172.8489,0.9161487,0.5238306,3.609064,0.0,0.0,-497.071,-4.679865e-06,1.8,0.0,tran_SchGtKttmmTtVt_19,Sch,Mon Sep 22 19:47:10 2025,False
11,234.9762,164.42909999999998,0.9165062,0.5250914,3.66425,0.0,0.0,-500.21569999999997,1.26981e-06,1.8,0.0,tran_SchGtKttmmTtVt_18,Sch,Mon Sep 22 19:47:09 2025,False
12,168.9535,182.9162,0.9229048,0.5249561,2.676139,0.0,0.0,-452.9662,1.189459e-05,1.8,0.0,tran_SchGtKttmmTtVt_17,Sch,Mon Sep 22 19:47:09 2025,False
13,189.6171,180.5228,0.9180816,0.5214451,2.961429,0.0,0.0,-470.9951,2.88103e-06,1.8,0.0,tran_SchGtKttmmTtVt_16,Sch,Mon Sep 22 19:47:08 2025,False
14,191.8733,191.4179,0.914955,0.5211391,3.040999,0.0,0.0,-484.18000000000006,3.00514e-05,1.8,0.0,tran_SchGtKttmmTtVt_15,Sch,Mon Sep 22 19:47:07 2025,False
15,235.60739999999998,171.4044,0.9136524,0.5274113,3.564263,0.0,0.0,-507.8769,-3.762683e-07,1.8,0.0,tran_SchGtKttmmTtVt_14,Sch,Mon Sep 22 19:47:06 2025,False
16,200.9286,180.0431,0.9177555,0.5219996,3.040063,0.0,0.0,-481.9561,1.077099e-05,1.8,0.0,tran_SchGtKttmmTtVt_13,Sch,Mon Sep 22 19:47:06 2025,False
17,185.9444,196.48579999999998,0.9190128,0.5249638,2.905547,0.0,0.0,-483.35970000000003,2.916734e-06,1.8,0.0,tran_SchGtKttmmTtVt_12,Sch,Mon Sep 22 19:47:05 2025,False
18,193.6853,173.8272,0.9204729,0.5247644,3.059165,0.0,0.0,-468.488,-7.754922000000001e-06,1.8,0.0,tran_SchGtKttmmTtVt_11,Sch,Mon Sep 22 19:47:04 2025,False
19,200.97019999999998,162.5727,0.9182824,0.5239936,3.1230339999999996,0.0,0.0,-464.5521,-1.994554e-05,1.8,0.0,tran_SchGtKttmmTtVt_10,Sch,Mon Sep 22 19:47:03 2025,False
20,190.16479999999999,180.3709,0.9189807,0.5244332,3.068594,0.0,0.0,-471.468,-3.053545e-05,1.8,0.0,tran_SchGtKttmmTtVt_9,Sch,Mon Sep 22 19:47:03 2025,False
21,190.4192,157.84550000000002,0.9228096,0.5237369,3.055644,0.0,0.0,-449.2757,1.442216e-05,1.8,0.0,tran_SchGtKttmmTtVt_8,Sch,Mon Sep 22 19:47:02 2025,False
22,193.1323,159.8969,0.9189453,0.5261111,3.041603,0.0,0.0,-454.061,3.849643e-07,1.8,0.0,tran_SchGtKttmmTtVt_7,Sch,Mon Sep 22 19:47:01 2025,False
23,189.8197,172.2548,0.9173197,0.5247993,2.965936,0.0,0.0,-463.1121,2.935731e-06,1.8,0.0,tran_SchGtKttmmTtVt_6,Sch,Mon Sep 22 19:47:00 2025,False
24,192.7857,163.60580000000002,0.9188302,0.525577,3.015615,0.0,0.0,-457.3715,4.539943e-06,1.8,0.0,tran_SchGtKttmmTtVt_5,Sch,Mon Sep 22 19:47:00 2025,False
25,213.4455,182.69119999999998,0.9177117,0.5265977,3.342073,0.0,0.0,-497.0248,1.081569e-05,1.8,0.0,tran_SchGtKttmmTtVt_4,Sch,Mon Sep 22 19:46:59 2025,False
26,187.7301,174.3926,0.9182502,0.5247214,2.927895,0.0,0.0,-463.158,2.596767e-05,1.8,0.0,tran_SchGtKttmmTtVt_3,Sch,Mon Sep 22 19:46:58 2025,False
27,212.8726,167.4579,0.9183161,0.5245189,3.389933,0.0,0.0,-481.27869999999996,-1.369798e-05,1.8,0.0,tran_SchGtKttmmTtVt_2,Sch,Mon Sep 22 19:46:58 2025,False
28,205.03640000000001,174.448,0.9182246,0.5219418,3.226795,0.0,0.0,-480.3538,2.794071e-05,1.8,0.0,tran_SchGtKttmmTtVt_1,Sch,Mon Sep 22 19:46:57 2025,False
29,215.6599,166.2293,0.9173815,0.5256314,3.388363,0.0,0.0,-482.8893,-1.074206e-05,1.8,0.0,tran_SchGtKttmmTtVt,Sch,Mon Sep 22 19:46:56 2025,False
