,ibias,vgate,iref,name,type,time,OK
0,-53.226780000000005,0.9493177,-52.91727,tran_SchGtKttmmTtVt_29,Sch,Sun Sep 14 22:08:28 2025,False
1,-52.46751,0.9500111,-53.1546,tran_SchGtKttmmTtVt_28,Sch,Sun Sep 14 22:08:28 2025,False
2,-53.76901,0.9527871,-54.55906,tran_SchGtKttmmTtVt_27,Sch,Sun Sep 14 22:08:28 2025,False
3,-52.343599999999995,0.9492148,-53.48764,tran_SchGtKttmmTtVt_26,Sch,Sun Sep 14 22:08:28 2025,False
4,-55.14799,0.9550186,-55.168479999999995,tran_SchGtKttmmTtVt_25,Sch,Sun Sep 14 22:08:28 2025,False
5,-54.406259999999996,0.9566459,-54.36841,tran_SchGtKttmmTtVt_24,Sch,Sun Sep 14 22:08:28 2025,False
6,-53.38733,0.9485599,-55.088550000000005,tran_SchGtKttmmTtVt_23,Sch,Sun Sep 14 22:08:28 2025,False
7,-52.748940000000005,0.9512093,-53.78598,tran_SchGtKttmmTtVt_22,Sch,Sun Sep 14 22:08:28 2025,False
8,-53.47493,0.9526233,-53.70076,tran_SchGtKttmmTtVt_21,Sch,Sun Sep 14 22:08:28 2025,False
9,-53.52008,0.9519451,-54.41762,tran_SchGtKttmmTtVt_20,Sch,Sun Sep 14 22:08:28 2025,False
10,-53.912510000000005,0.94728,-53.36827,tran_SchGtKttmmTtVt_19,Sch,Sun Sep 14 22:08:28 2025,False
11,-54.370419999999996,0.9473546,-53.0101,tran_SchGtKttmmTtVt_18,Sch,Sun Sep 14 22:08:28 2025,False
12,-53.64096,0.9487703,-53.29511,tran_SchGtKttmmTtVt_17,Sch,Sun Sep 14 22:08:28 2025,False
13,-52.30375,0.9472123,-53.300290000000004,tran_SchGtKttmmTtVt_16,Sch,Sun Sep 14 22:08:28 2025,False
14,-53.53869,0.9511159,-54.378629999999994,tran_SchGtKttmmTtVt_15,Sch,Sun Sep 14 22:08:28 2025,False
15,-53.96898,0.9528606,-54.18736,tran_SchGtKttmmTtVt_14,Sch,Sun Sep 14 22:08:28 2025,False
16,-53.28366,0.9511712,-53.49566,tran_SchGtKttmmTtVt_13,Sch,Sun Sep 14 22:08:28 2025,False
17,-53.767590000000006,0.9513597,-54.36688,tran_SchGtKttmmTtVt_12,Sch,Sun Sep 14 22:08:28 2025,False
18,-54.06136,0.953074,-54.113400000000006,tran_SchGtKttmmTtVt_11,Sch,Sun Sep 14 22:08:28 2025,False
19,-55.271,0.9528487,-53.826080000000005,tran_SchGtKttmmTtVt_10,Sch,Sun Sep 14 22:08:28 2025,False
20,-52.95226,0.9484332,-53.69202,tran_SchGtKttmmTtVt_9,Sch,Sun Sep 14 22:08:28 2025,False
21,-55.58638,0.9551382,-55.70227,tran_SchGtKttmmTtVt_8,Sch,Sun Sep 14 22:08:28 2025,False
22,-54.486439999999995,0.9518194,-53.71196,tran_SchGtKttmmTtVt_7,Sch,Sun Sep 14 22:08:28 2025,False
23,-53.70413,0.9533871,-54.60242,tran_SchGtKttmmTtVt_6,Sch,Sun Sep 14 22:08:28 2025,False
24,-53.37471,0.9525306,-54.23607,tran_SchGtKttmmTtVt_5,Sch,Sun Sep 14 22:08:28 2025,False
25,-53.181360000000005,0.9488277,-54.58269,tran_SchGtKttmmTtVt_4,Sch,Sun Sep 14 22:08:28 2025,False
26,-54.07115,0.9494876,-54.49774,tran_SchGtKttmmTtVt_3,Sch,Sun Sep 14 22:08:28 2025,False
27,-55.24537,0.9528718,-54.112500000000004,tran_SchGtKttmmTtVt_2,Sch,Sun Sep 14 22:08:28 2025,False
28,-54.58893,0.9530288,-54.542829999999995,tran_SchGtKttmmTtVt_1,Sch,Sun Sep 14 22:08:28 2025,False
29,-54.5002,0.9522459,-53.37388,tran_SchGtKttmmTtVt,Sch,Sun Sep 14 22:08:28 2025,False
