,ibias,iref,vgate,name,type,time,OK
0,-53.224019999999996,-54.09775,0.9492358,tran_SchGtKttmmTtVt_29,Sch,Tue Sep  9 00:50:48 2025,True
1,-56.082899999999995,-55.11121,0.954267,tran_SchGtKttmmTtVt_28,Sch,Tue Sep  9 00:50:48 2025,True
2,-53.31073,-54.20981,0.949151,tran_SchGtKttmmTtVt_27,Sch,Tue Sep  9 00:50:48 2025,True
3,-55.47748,-53.67683,0.9532961,tran_SchGtKttmmTtVt_26,Sch,Tue Sep  9 00:50:47 2025,True
4,-54.12196,-53.161809999999996,0.9520567,tran_SchGtKttmmTtVt_25,Sch,Tue Sep  9 00:50:47 2025,True
5,-54.203970000000005,-54.65778,0.951901,tran_SchGtKttmmTtVt_24,Sch,Tue Sep  9 00:50:47 2025,True
6,-55.6965,-54.83434,0.9551998,tran_SchGtKttmmTtVt_23,Sch,Tue Sep  9 00:50:47 2025,True
7,-55.54192,-54.41822,0.9577557,tran_SchGtKttmmTtVt_22,Sch,Tue Sep  9 00:50:47 2025,True
8,-55.755289999999995,-54.58752,0.9527208,tran_SchGtKttmmTtVt_21,Sch,Tue Sep  9 00:50:47 2025,True
9,-54.44181,-54.398360000000004,0.954023,tran_SchGtKttmmTtVt_20,Sch,Tue Sep  9 00:50:47 2025,True
10,-55.797380000000004,-54.38217,0.9581346,tran_SchGtKttmmTtVt_19,Sch,Tue Sep  9 00:50:47 2025,True
11,-55.06418,-54.23319,0.9531128,tran_SchGtKttmmTtVt_18,Sch,Tue Sep  9 00:50:47 2025,True
12,-54.22334,-54.595439999999996,0.9557104,tran_SchGtKttmmTtVt_17,Sch,Tue Sep  9 00:50:47 2025,True
13,-54.985409999999995,-54.04747,0.9549551,tran_SchGtKttmmTtVt_16,Sch,Tue Sep  9 00:50:47 2025,True
14,-54.217220000000005,-54.01478,0.952592,tran_SchGtKttmmTtVt_15,Sch,Tue Sep  9 00:50:47 2025,True
15,-54.41988,-54.54808,0.95625,tran_SchGtKttmmTtVt_14,Sch,Tue Sep  9 00:50:47 2025,True
16,-53.48183,-53.60473,0.9517085,tran_SchGtKttmmTtVt_13,Sch,Tue Sep  9 00:50:47 2025,True
17,-53.835519999999995,-53.79431,0.9550125,tran_SchGtKttmmTtVt_12,Sch,Tue Sep  9 00:50:47 2025,True
18,-52.629439999999995,-53.74947,0.9521142,tran_SchGtKttmmTtVt_11,Sch,Tue Sep  9 00:50:47 2025,True
19,-52.668530000000004,-54.22789,0.950358,tran_SchGtKttmmTtVt_10,Sch,Tue Sep  9 00:50:47 2025,True
20,-53.19948,-53.21427,0.9510081,tran_SchGtKttmmTtVt_9,Sch,Tue Sep  9 00:50:47 2025,True
21,-54.1915,-54.10651,0.9515909,tran_SchGtKttmmTtVt_8,Sch,Tue Sep  9 00:50:47 2025,True
22,-53.80266,-54.001430000000006,0.9510593,tran_SchGtKttmmTtVt_7,Sch,Tue Sep  9 00:50:47 2025,True
23,-54.02558,-53.58722,0.9525962,tran_SchGtKttmmTtVt_6,Sch,Tue Sep  9 00:50:47 2025,True
24,-53.23729,-53.69191,0.9506147,tran_SchGtKttmmTtVt_5,Sch,Tue Sep  9 00:50:47 2025,True
25,-55.27256,-53.69006,0.950848,tran_SchGtKttmmTtVt_4,Sch,Tue Sep  9 00:50:47 2025,True
26,-52.99089,-53.370079999999994,0.9513448,tran_SchGtKttmmTtVt_3,Sch,Tue Sep  9 00:50:47 2025,True
27,-54.90463,-53.961,0.9529754,tran_SchGtKttmmTtVt_2,Sch,Tue Sep  9 00:50:47 2025,True
28,-54.84342,-53.48087,0.9527774,tran_SchGtKttmmTtVt_1,Sch,Tue Sep  9 00:50:47 2025,True
29,-56.223600000000005,-53.630410000000005,0.9567379,tran_SchGtKttmmTtVt,Sch,Tue Sep  9 00:50:47 2025,True
