,ibias,iref,vgate,name,type,time,OK
0,22.90827,-46.8076,0.3783283,tran_SchGtKttmmTtVt_29,Sch,Tue Sep  9 00:16:59 2025,True
1,24.35068,-48.76412,0.3742026,tran_SchGtKttmmTtVt_28,Sch,Tue Sep  9 00:16:58 2025,True
2,23.64282,-47.70363,0.3725198,tran_SchGtKttmmTtVt_27,Sch,Tue Sep  9 00:16:58 2025,True
3,23.69309,-47.21045,0.3719359,tran_SchGtKttmmTtVt_26,Sch,Tue Sep  9 00:16:57 2025,True
4,23.91585,-47.90627,0.3768146,tran_SchGtKttmmTtVt_25,Sch,Tue Sep  9 00:16:56 2025,True
5,23.836759999999998,-47.26575,0.3785094,tran_SchGtKttmmTtVt_24,Sch,Tue Sep  9 00:16:56 2025,True
6,22.86653,-47.27252,0.3805556,tran_SchGtKttmmTtVt_23,Sch,Tue Sep  9 00:16:55 2025,True
7,23.8536,-48.123920000000005,0.3751718,tran_SchGtKttmmTtVt_22,Sch,Tue Sep  9 00:16:54 2025,True
8,23.39041,-47.102180000000004,0.3750151,tran_SchGtKttmmTtVt_21,Sch,Tue Sep  9 00:16:53 2025,True
9,24.0714,-47.934450000000005,0.3710275,tran_SchGtKttmmTtVt_20,Sch,Tue Sep  9 00:16:53 2025,True
10,23.58157,-47.477340000000005,0.3731365,tran_SchGtKttmmTtVt_19,Sch,Tue Sep  9 00:16:52 2025,True
11,23.32547,-47.25733,0.3773634,tran_SchGtKttmmTtVt_18,Sch,Tue Sep  9 00:16:51 2025,True
12,22.69319,-46.7548,0.3802721,tran_SchGtKttmmTtVt_17,Sch,Tue Sep  9 00:16:51 2025,True
13,23.96576,-48.306909999999995,0.3715895,tran_SchGtKttmmTtVt_16,Sch,Tue Sep  9 00:16:50 2025,True
14,23.0254,-46.58424,0.3740675,tran_SchGtKttmmTtVt_15,Sch,Tue Sep  9 00:16:49 2025,True
15,24.25377,-48.52192,0.3732548,tran_SchGtKttmmTtVt_14,Sch,Tue Sep  9 00:16:49 2025,True
16,23.37738,-47.890789999999996,0.374538,tran_SchGtKttmmTtVt_13,Sch,Tue Sep  9 00:16:48 2025,True
17,24.06347,-48.25957,0.3767776,tran_SchGtKttmmTtVt_12,Sch,Tue Sep  9 00:16:47 2025,True
18,23.11274,-46.63158,0.3762992,tran_SchGtKttmmTtVt_11,Sch,Tue Sep  9 00:16:46 2025,True
19,23.24061,-47.0048,0.3795168,tran_SchGtKttmmTtVt_10,Sch,Tue Sep  9 00:16:46 2025,True
20,24.10556,-48.06639,0.3730189,tran_SchGtKttmmTtVt_9,Sch,Tue Sep  9 00:16:45 2025,True
21,23.328509999999998,-47.09385,0.378368,tran_SchGtKttmmTtVt_8,Sch,Tue Sep  9 00:16:44 2025,True
22,23.150290000000002,-46.968619999999994,0.3725208,tran_SchGtKttmmTtVt_7,Sch,Tue Sep  9 00:16:44 2025,True
23,23.39227,-47.24864,0.3763965,tran_SchGtKttmmTtVt_6,Sch,Tue Sep  9 00:16:43 2025,True
24,23.321170000000002,-47.11603,0.377031,tran_SchGtKttmmTtVt_5,Sch,Tue Sep  9 00:16:42 2025,True
25,23.18948,-47.46608,0.3780519,tran_SchGtKttmmTtVt_4,Sch,Tue Sep  9 00:16:42 2025,True
26,24.32165,-48.37619,0.3705358,tran_SchGtKttmmTtVt_3,Sch,Tue Sep  9 00:16:41 2025,True
27,23.57855,-47.52223,0.3729808,tran_SchGtKttmmTtVt_2,Sch,Tue Sep  9 00:16:40 2025,True
28,22.72141,-46.181850000000004,0.3826459,tran_SchGtKttmmTtVt_1,Sch,Tue Sep  9 00:16:39 2025,True
29,23.17624,-47.25563,0.3812222,tran_SchGtKttmmTtVt,Sch,Tue Sep  9 00:16:39 2025,True
