,iv6,iv5,iv4,iv3,iv2,iv1,vg3,vg2,vg1,ivdd,ivss,vr,name,type,time,OK
0,3188.031,3084.713,3240.4669999999996,3174.176,3241.862,3105.1589999999997,733.3457,1605.919,730.821,-6295.112999999999,-21.0899,50039310.0,tran_SchGtKfsTlVh,Sch,Tue Sep 16 16:45:14 2025,False
1,3034.47,2910.716,3032.3869999999997,2939.413,3070.048,2920.056,642.6028,1434.785,656.7455,-5956.061,-8.781124,47388220.0,tran_SchGtKsfTlVh,Sch,Tue Sep 16 16:45:12 2025,False
2,3835.5799999999995,3657.277,3707.295,3721.1479999999997,3771.0029999999997,3776.79,708.6134,1484.285,679.2255,-7504.488,-16.23785,50930020.0,tran_SchGtKffTlVh,Sch,Tue Sep 16 16:45:11 2025,False
3,2303.949,2172.547,2400.455,2138.683,2442.979,2082.1119999999996,674.3471,1539.051,699.8496,-4493.0419999999995,-20.281599999999997,42426230.0,tran_SchGtKssTlVh,Sch,Tue Sep 16 16:45:09 2025,False
4,4445.809,4364.435,4471.1539999999995,4390.357,4489.673,4394.003,938.3261,1484.0549999999998,672.7414,-8832.707,-16.00038,74945730.0,tran_SchGtKfsThVh,Sch,Tue Sep 16 16:45:07 2025,False
5,4467.414,4164.508,4081.09,4148.253000000001,4277.133000000001,4199.629,824.7002,1295.666,590.6978,-8632.572,-2.328706,71397260.0,tran_SchGtKsfThVh,Sch,Tue Sep 16 16:45:06 2025,False
6,6043.476,4766.106,4648.570000000001,5051.844,5058.282999999999,5006.536999999999,908.6929,1346.314,613.39,-10771.39,-3.393224,73882380.0,tran_SchGtKffThVh,Sch,Tue Sep 16 16:45:04 2025,False
7,3834.307,3657.4860000000003,3782.28,3690.1259999999997,3809.648,3700.9469999999997,855.5264,1430.8410000000001,648.8317999999999,-7507.9039999999995,7.038005,71545670.0,tran_SchGtKssThVh,Sch,Tue Sep 16 16:45:02 2025,False
8,477.3585,355.99510000000004,489.3967,251.8949,562.9244,207.8666,655.7685,1359.5520000000001,608.7939,-845.2234000000001,-6.641436,8691530.0,tran_SchGtKfsTlVl,Sch,Tue Sep 16 16:45:00 2025,False
9,322.2512,205.74790000000002,317.61159999999995,133.93089999999998,352.7221,116.7471,593.8582,1165.7040000000002,523.3598000000001,-535.5391,-10.08436,5445711.0,tran_SchGtKsfTlVl,Sch,Tue Sep 16 16:44:59 2025,False
10,1947.4070000000002,1191.664,1351.692,1004.337,1743.157,935.8102,579.9932,1352.454,614.3075,-3119.598,-14.079410000000001,23548700.0,tran_SchGtKffTlVl,Sch,Tue Sep 16 16:44:57 2025,False
11,-546.7671,215.8006,448.4678,86.96693,129.589,41.86067,639.7593,1232.963,536.3972,267.6346,-18.177410000000002,2250835.0,tran_SchGtKssTlVl,Sch,Tue Sep 16 16:44:55 2025,False
12,3505.2509999999997,3223.02,3607.798,3128.88,3647.239,2982.087,769.5509999999999,1422.561,642.6243000000001,-6742.718,17.814980000000002,60894790.0,tran_SchGtKfsThVl,Sch,Tue Sep 16 16:44:54 2025,False
13,3047.947,3336.0649999999996,3825.493,3097.1969999999997,3614.469,3050.223,653.8123999999999,1247.924,567.3905,-6412.173,16.45023,60344670.0,tran_SchGtKsfThVl,Sch,Tue Sep 16 16:44:52 2025,False
14,4977.836,4511.4310000000005,4637.754,4543.95,4792.691,4517.5560000000005,717.3019,1329.962,605.5161,-9488.699999999999,1.0429460000000002,70006160.0,tran_SchGtKffThVl,Sch,Tue Sep 16 16:44:50 2025,False
15,1797.762,1572.663,1933.3639999999998,1416.19,2000.5230000000001,1143.031,742.8288,1269.6970000000001,567.9664,-3381.382,-6.873398000000001,37589210.0,tran_SchGtKssThVl,Sch,Tue Sep 16 16:44:49 2025,False
