,iv6,iv5,iv4,iv3,iv2,iv1,vg3,vg2,vg1,ivdd,ivss,vr,name,type,time,OK
0,4.161239,3.378162,3.222389,3.397728,3.63236,3.393551,0.6667402,1.447954,0.6596948,-7.514182,-1.274005e-08,0.05588157,tran_SchGtKttmmTtVt_29,Sch,Mon Sep 22 21:11:11 2025,False
1,3.660472,2.903817,2.969922,2.905152,3.2885299999999997,2.891485,0.6796556,1.431144,0.6498222,-6.548438,-1.115859e-08,0.05127585,tran_SchGtKttmmTtVt_28,Sch,Mon Sep 22 21:11:11 2025,False
2,3.851434,3.239722,3.087998,3.254571,3.428395,3.25109,0.6723014,1.441329,0.6556457,-7.073135,-1.1672239999999999e-08,0.05403397,tran_SchGtKttmmTtVt_27,Sch,Mon Sep 22 21:11:11 2025,False
3,3.7803750000000003,3.1696050000000002,3.1679120000000003,3.1655040000000003,3.458954,3.151361,0.6751788,1.442268,0.6585298,-6.937094,-5.041903e-09,0.05383132,tran_SchGtKttmmTtVt_26,Sch,Mon Sep 22 21:11:11 2025,False
4,3.1732419999999997,2.399404,2.587606,2.4115390000000003,2.8553539999999997,2.395188,0.6988729,1.404598,0.6372847,-5.561881,-1.478585e-08,0.04542679,tran_SchGtKttmmTtVt_25,Sch,Mon Sep 22 21:11:11 2025,False
5,3.6520040000000003,2.964788,3.037801,2.95579,3.3316660000000002,2.940002,0.6778236,1.434482,0.6525022,-6.603586,-5.859717e-09,0.05216653,tran_SchGtKttmmTtVt_24,Sch,Mon Sep 22 21:11:11 2025,False
6,3.24297,2.429055,2.471067,2.454863,2.807572,2.444985,0.6930138,1.404546,0.6356101,-5.654035,-8.395981e-09,0.04484057,tran_SchGtKttmmTtVt_23,Sch,Mon Sep 22 21:11:11 2025,False
7,3.489028,2.934078,3.00702,2.9297050000000002,3.24261,2.917105,0.6833511,1.432405,0.6492398,-6.415824000000001,1.735125e-09,0.0519557,tran_SchGtKttmmTtVt_22,Sch,Mon Sep 22 21:11:11 2025,False
8,3.903851,3.373624,3.308575,3.36484,3.594878,3.353027,0.6709161,1.448775,0.6595819,-7.265243,1.457135e-09,0.05577936,tran_SchGtKttmmTtVt_21,Sch,Mon Sep 22 21:11:11 2025,False
9,4.0911919999999995,3.2022079999999997,3.317173,3.198142,3.6742150000000002,3.1840189999999997,0.6690947,1.45117,0.6642034,-7.2736339999999995,-6.032916e-09,0.05790462,tran_SchGtKttmmTtVt_20,Sch,Mon Sep 22 21:11:11 2025,False
10,3.3541030000000003,2.750027,2.689799,2.772682,2.984022,2.76691,0.6892534,1.418906,0.6445414,-6.090644,-7.833461e-09,0.04736564,tran_SchGtKttmmTtVt_19,Sch,Mon Sep 22 21:11:11 2025,False
11,3.488305,2.8603430000000003,2.9725770000000002,2.853278,3.2233569999999996,2.837279,0.6847067,1.429758,0.6475158,-6.339725,-9.207602000000001e-09,0.05163384,tran_SchGtKttmmTtVt_18,Sch,Mon Sep 22 21:11:11 2025,False
12,3.784707,3.038325,3.188684,3.035284,3.4705500000000002,3.021575,0.6791253,1.444332,0.6573106,-6.810945,-1.511389e-08,0.05584913,tran_SchGtKttmmTtVt_17,Sch,Mon Sep 22 21:11:11 2025,False
13,3.9174290000000003,3.070955,3.322394,3.053041,3.6144629999999998,3.031177,0.6761036,1.448608,0.6607059,-6.975419,6.1937079999999995e-09,0.05667455,tran_SchGtKttmmTtVt_16,Sch,Mon Sep 22 21:11:11 2025,False
