,iv6,iv5,iv4,iv3,iv2,iv1,vg3,vg2,vg1,ivdd,ivss,vr,name,type,time,OK
0,-5.907588,-3.132093,5.1414930000000005,5.213239000000001,1.950423e-05,-0.4373931,1744.252,199.27120000000002,5.742504,9.039677,-7.5834470000000005,24.218239999999998,tran_SchGtKffTlVh,Sch,Tue Sep 16 09:43:44 2025,False
1,9.417868,4.6535470000000005,-7.873805000000001,-7.57228,4.412924e-05,0.4049814,1724.038,205.7141,5.2565859999999995,-14.071430000000001,-10.62828,-32.03171,tran_SchGtKssTlVh,Sch,Tue Sep 16 09:43:44 2025,False
2,-7.5387710000000006,-3.8304859999999996,6.509748,6.374562,1.610164e-08,-0.4464533,1734.454,201.9664,5.459864,11.36925,-7.561474999999999,28.53331,tran_SchGtKttTlVh,Sch,Tue Sep 16 09:43:44 2025,False
3,-6.651426,-3.9231730000000002,6.7867299999999995,7.378578,0.2186429,-0.3833621,1660.521,158.2484,28.462020000000003,10.5746,1.75858,3225.793,tran_SchGtKffThVh,Sch,Tue Sep 16 09:43:42 2025,False
4,10.72638,5.419889,-9.345329,-9.013289,0.09202624000000001,0.242972,1644.034,178.2643,21.958289999999998,-16.14627,-3.768718,1687.103,tran_SchGtKssThVh,Sch,Tue Sep 16 09:43:42 2025,False
5,-8.340294,-4.604507,8.264344,8.473773000000001,0.14059449999999998,-0.3316675,1652.063,167.94480000000001,24.99928,12.9448,-4.401824,2383.958,tran_SchGtKttThVh,Sch,Tue Sep 16 09:43:42 2025,False
6,-6.447462,-3.241616,6.074417,6.446529,0.004015690000000001,-0.4461142,1721.16,198.8839,8.84634,9.689073,-5.380687,84.51964,tran_SchGtKffTtVh,Sch,Tue Sep 16 09:43:40 2025,False
7,9.948388,4.750609,-8.824413,-8.571074,0.0016704270000000002,0.36857260000000003,1698.739,207.23669999999998,7.340097,-14.699,-11.26504,-8.203995,tran_SchGtKssTtVh,Sch,Tue Sep 16 09:43:38 2025,False
8,-8.077574,-3.9357559999999996,7.486285,7.524469999999999,0.002507693,-0.4347962,1710.3429999999998,202.73579999999998,7.960460000000001,12.013330000000002,-8.472301999999999,73.21276,tran_SchGtKttTtVh,Sch,Tue Sep 16 09:43:37 2025,False
9,-5.205246,-2.821553,4.406964,4.370892,-1.8821379999999997e-06,-0.37764590000000003,1560.4769999999999,179.4401,5.108658,8.026795,-6.007219,20.36161,tran_SchGtKffTlVl,Sch,Tue Sep 16 09:43:37 2025,False
10,-8.496466,-4.248341,6.924891,6.527311999999999,-1.3755140000000001e-05,-0.3738016,1542.32,185.27530000000002,4.692226,12.7448,-2.5026040000000003,28.43284,tran_SchGtKssTlVl,Sch,Tue Sep 16 09:43:37 2025,False
11,-6.715688999999999,-3.469347,5.638616,5.412171,-1.095426e-05,-0.3941663,1551.6570000000002,181.8905,4.866896,10.18503,-1.2571480000000002,24.38995,tran_SchGtKttTlVl,Sch,Tue Sep 16 09:43:37 2025,False
12,-5.917773,-3.4477409999999997,6.051493,6.395628,0.1855041,-0.3583472,1485.666,146.9032,24.231550000000002,9.365516999999999,-0.7985463,2738.4579999999996,tran_SchGtKffThVl,Sch,Tue Sep 16 09:43:35 2025,False
13,-9.278138,-4.833600000000001,8.803366,8.362958,0.07483636,-0.24008169999999998,1472.1550000000002,165.0925,18.35278,14.111740000000001,1.717579,1443.268,tran_SchGtKssThVl,Sch,Tue Sep 16 09:43:35 2025,False
14,-7.483756,-4.069510999999999,7.40686,7.3752949999999995,0.11737990000000001,-0.3243525,1479.0140000000001,155.9178,21.09179,11.55326,-11.8032,1992.896,tran_SchGtKttThVl,Sch,Tue Sep 16 09:43:35 2025,False
15,-5.647464,-2.9237249999999997,5.200508,5.344652,0.002508821,-0.3900589,1539.978,180.2843,7.495171,8.571185999999999,-6.570611,59.570370000000004,tran_SchGtKffTtVl,Sch,Tue Sep 16 09:43:33 2025,False
16,-8.896982,-4.345261,7.7686969999999995,7.358176,0.0009650559,-0.3514879,1519.466,187.38289999999998,6.346466,13.24224,-4.233667,50.20241,tran_SchGtKssTtVl,Sch,Tue Sep 16 09:43:31 2025,False
17,-7.146324,-3.568484,6.46701,6.320888,0.001531958,-0.3905981,1530.0339999999999,183.50459999999998,6.821897000000001,10.71481,-1.63406,53.26482,tran_SchGtKttTtVl,Sch,Tue Sep 16 09:43:30 2025,False
18,-5.555774,-2.978871,4.770824999999999,4.784096,6.592688e-06,-0.4075514,1652.371,189.3774,5.423119,8.534639,-8.625022,22.237190000000002,tran_SchGtKffTlVt,Sch,Tue Sep 16 09:43:30 2025,False
19,-8.978598,-4.463934,7.422443,7.062169,-1.16266e-05,-0.3928036,1633.184,195.5162,4.9730859999999995,13.442530000000001,-3.5260480000000003,30.61722,tran_SchGtKssTlVt,Sch,Tue Sep 16 09:43:28 2025,False
20,-7.128633,-3.652854,6.072388999999999,5.887291,-6.7497369999999995e-06,-0.4207064,1643.06,191.95010000000002,5.161607,10.78148,-2.391507,26.42787,tran_SchGtKttTlVt,Sch,Tue Sep 16 09:43:26 2025,False
21,-6.288328,-3.6839199999999996,6.423567,6.890607,0.2019688,-0.3721827,1573.021,152.6651,26.31344,9.972249,-0.7143688,2980.609,tran_SchGtKffThVt,Sch,Tue Sep 16 09:43:24 2025,False
22,-9.780560000000001,-5.1307849999999995,9.299643,8.971974999999999,0.08335347,-0.2317601,1558.134,171.8355,20.11594,14.91134,-6.2550799999999995,1605.0849999999998,tran_SchGtKssThVt,Sch,Tue Sep 16 09:43:23 2025,False
23,-7.91772,-4.3345959999999994,7.8427430000000005,7.930047999999999,0.12897540000000002,-0.329582,1565.536,162.0692,23.01106,12.252320000000001,-2.650412,2188.25,tran_SchGtKttThVt,Sch,Tue Sep 16 09:43:21 2025,False
24,-6.04756,-3.085061,5.6353420000000005,5.8854239999999995,0.003182678,-0.4185121,1630.613,189.67600000000002,8.142135999999999,9.132615,-10.682310000000001,70.93493000000001,tran_SchGtKffTtVt,Sch,Tue Sep 16 09:43:19 2025,False
25,-9.434989,-4.56413,8.341184,7.999464,0.001247579,-0.36464009999999997,1609.124,197.3726,6.827646,13.99912,2.622895,57.64343,tran_SchGtKssTtVt,Sch,Tue Sep 16 09:43:18 2025,False
26,-7.613241,-3.755428,6.975442,6.914105,0.001963429,-0.4135503,1620.22,193.1952,7.37011,11.36867,-3.8464490000000002,62.34335,tran_SchGtKttTtVt,Sch,Tue Sep 16 09:43:16 2025,False
